"mz","rt","height","intensity"
200.022994995117,10.408929,224414.875,607998.412772808
200.023040771484,10.192822,218583.625,582275.584796251
200.023063659668,9.181445,235868.375,610426.553724551
200.022979736328,0.28246512,136904.078125,242258.746388691
200.023178100586,6.4789536,210287.703125,471672.723852704
200.022994995117,2.2675982,149997.890625,212008.216645384
200.022903442383,13.788896,201892.375,501968.108112428
200.022903442383,14.199917,149803.1875,349342.440543519
200.023071289062,6.3103908,181362.140625,290932.726526625
200.022979736328,14.074575,149859.875,422210.332714218
200.059356689453,12.708987,10816904,37264206.3209174
200.059204101562,11.913028,9320619,43741367.4725396
200.059295654297,14.952807,1441156.75,7754209.34544742
200.05933380127,0.070681384,1374741.625,7761714.42732515
200.059310913086,0.45577795,1779419.5,9920807.90150682
200.078628540039,8.2820217,199600.28125,786615.650374535
200.078659057617,8.4724413,205538,597390.680833188
200.078636169434,8.3771085,200471.28125,387488.547714567
200.095726013184,12.704665,5934604.5,20175700.2629681
200.095649719238,1.4939376,175089.34375,414473.881940601
200.095657348633,1.6019911,175275.96875,436208.11127775
200.200759887695,0.42509557,1073448.875,2604626.98697642
200.996604919434,12.726275,642621.125,1313857.24018504
200.996520996094,14.931196,386797.78125,1971461.70856498
200.996566772461,0.031781784,276901.53125,1328483.12574384
200.996559143066,6.3017466,225998.453125,576105.852271801
200.996520996094,6.098607,214185.453125,408102.402715457
200.996612548828,9.5272144,226528.890625,950495.151230805
200.996551513672,0.304076,263085.4375,953846.475557794
200.996597290039,7.4082103,231064.796875,869240.932152492
200.996612548828,6.8074351,229066.28125,535961.775156904
200.99658203125,9.2073773,254420.828125,703130.148511432
200.996536254883,8.3209208,218321.71875,741306.519733634
200.996566772461,7.7284036,219534.359375,918745.914526809
200.996520996094,4.9100225,171994.734375,710333.886182292
200.996597290039,4.525353,189599.28125,376185.496535036
200.996490478516,8.0010837,249305.65625,617622.314405663
200.996566772461,7.5292298,203975,545559.748673307
200.996597290039,9.0517806,217474.828125,436991.655138862
200.996620178223,8.2215119,228461,683511.665441602
200.996589660645,8.4810853,231898.578125,527595.19935902
200.996597290039,8.0702376,201656.25,530935.791346914
200.996612548828,8.3987191,229203.875,494690.708613844
201.062652587891,11.852519,1210688.25,2895692.84525903
201.062721252441,11.696922,1410382.125,4396628.63246542
201.062599182129,11.122079,1269578.125,3050937.21584821
201.062698364258,12.721954,923355.625,2617757.79379316
201.062561035156,11.34683,1102547.375,3669226.98802496
201.062713623047,10.962161,1018208.3125,3731841.44330061
201.062530517578,10.577491,1050848.75,3202796.79946691
201.062683105469,0.46442212,170435.09375,645966.916036149
201.06266784668,9.5661138,833877.0625,2502270.54164311
201.062713623047,7.3347345,686862.6875,1768731.40692516
201.062683105469,5.8695344,540235.25,1542866.11516359
201.06266784668,14.467888,142317.0625,633366.483220315
201.062622070312,6.4530209,616202,1450883.11745353
201.06266784668,1.5501252,198782.9375,593848.275683087
201.062660217285,13.832118,167031.265625,797460.995703993
201.062652587891,5.0007869,466110.53125,1120022.77224829
201.099136352539,12.717632,545048.1875,1243414.02798982
201.098861694336,11.251743,643607,1569359.33404968
201.098854064941,12.012438,923768.875,1170577.91411255
201.099060058594,10.482405,432056.71875,1206143.2617717
201.099021911621,6.0813185,253478.6875,814699.569536592
201.099029541016,6.2844581,242283.53125,511100.113256347
201.099105834961,8.6323595,389089.6875,987242.732303813
201.099052429199,5.5367305,197955.5,564616.346250192
201.099075317383,10.071803,485438.5625,1110468.77186813
201.09895324707,10.65529,758177.625,1064169.89259367
201.099029541016,6.0813185,253478.6875,478645.036473093
201.099044799805,12.804074,166251.140625,390719.485465563
201.099197387695,9.445094,353158.28125,877762.146427505
202.092231750488,11.290642,645671.0625,2201453.43198089
202.092346191406,11.727177,805398.125,1989543.75033096
202.09228515625,10.970805,757931,1736750.87032317
202.09228515625,10.694189,864537.4375,1807972.31269598
202.09228515625,12.81704,323859.34375,1688221.81689986
202.092193603516,10.568847,542840.9375,1586248.21785471
202.092315673828,12.059981,354245.1875,603430.958193264
202.092323303223,0.46010025,126935.125,238483.553537977
202.092269897461,6.5740405,417111.9375,760643.602971795
202.092277526855,6.0726743,297197.21875,1150050.61469248
202.092239379883,6.422766,349322.96875,1225871.43755449
202.092300415039,6.3017466,277454.28125,691868.48425238
202.092315673828,2.9937152,160299.75,696330.88689832
202.09220123291,3.3701455,205094.796875,775900.243103434
202.092300415039,3.5693615,209314.71875,535942.696338745
202.092254638672,4.2876364,229089.65625,533693.257601961
202.09228515625,2.8770181,151847.546875,421223.099967234
202.09228515625,5.0007869,200644.125,554104.66499437
202.092254638672,4.1795832,223026.546875,527458.850745041
202.092269897461,10.802242,593472.9375,1619780.67294467
202.092376708984,9.4278059,475672.59375,1196540.99305095
202.128768920898,12.81704,182503.859375,781077.972433601
202.128677368164,9.8081529,326150.65625,972352.36449594
202.128768920898,6.7512475,242378.671875,647097.175198144
202.128784179688,9.5790801,293343.5625,963641.557845529
202.128799438477,7.3390564,199850.65625,546535.70930116
202.128829956055,9.3802624,269316.5,697736.340651235
202.128791809082,7.4384651,190001.84375,644078.486502046
202.128677368164,7.1272723,217424.171875,355524.631548793
202.128723144531,9.0431364,219088.703125,648679.634400337
202.128639221191,9.8081529,326150.65625,604485.365274065
202.216445922852,0.49899928,2574617.5,12148979.9610069
202.969177246094,12.696021,815609.6875,1567345.21087594
203.112731933594,12.708987,1406284.625,4740591.80519249
203.112609863281,11.359797,1407141.5,4576261.35165749
203.112632751465,11.139368,1712847.375,6631524.63377258
203.112564086914,12.047014,906182.1875,1949887.87422188
203.112693786621,6.2585253,545984.0625,1606527.3241185
203.112670898438,6.9500657,706014.4375,1630559.54059511
203.112701416016,5.8608899,514600,1127369.54886281
203.219863891602,0.5167097,361278.1875,1305536.72884726
204.05224609375,9.708744,341025.0625,1147349.55786722
204.052276611328,12.708987,320955.65625,1029999.04645641
204.052223205566,10.560203,333175.03125,998204.556318738
204.052352905273,6.8117574,229599.21875,683039.170631967
204.05224609375,8.3036323,314867.25,694901.151496528
204.052276611328,5.5410529,190255.4375,501197.564803286
204.052238464355,7.8973529,264157.125,651264.178001302
204.052230834961,12.79543,180283.625,821949.101805722
204.113540649414,10.931906,322531.84375,750879.211653259
204.113548278809,9.2116996,188488.625,547216.248051961
204.912963867188,12.721954,400685.09375,844055.778076171
204.99503326416,12.691699,1839584.625,3293415.7567758
204.994827270508,11.938961,1032927.25,4059428.73500067
204.994964599609,11.688278,1118172.625,4092305.48421662
204.994834899902,11.342508,1237859.625,4797667.16595376
204.994918823242,10.953517,1065654.75,4001941.4157562
204.99494934082,11.14369,1173181,4212620.18935497
204.994903564453,10.663934,1377556.375,2597216.28107062
204.994941711426,6.0164868,283050.90625,905037.344304138
204.99494934082,9.6828112,737918.375,2372417.74250491
204.99494934082,6.2412372,404220.78125,660452.02131197
204.99494934082,5.8565677,283720.09375,574156.431467999
204.995086669922,9.8729848,704938.1875,1554754.45203221
205.110275268555,9.9291725,222136,482588.121584378
205.110275268555,10.257654,248766.09375,421345.154973274
205.110275268555,8.7404129,169256.5625,253893.966432361
205.110275268555,8.5934605,192491.34375,290583.336360708
205.947052001953,12.726275,558155.5,1215310.34095032
205.984161376953,0.057714684,139329.984375,242742.867505119
206.077346801758,14.991706,494487.375,2676529.92505123
206.077362060547,0.5167097,654565.1875,3622816.87404148
206.077362060547,0.31704229,596612.1875,2615521.85782763
206.077377319336,5.6793611,175086.6875,344425.934838149
206.077362060547,4.145006,177443.90625,426715.437835643
206.077377319336,3.5477511,183537.828125,488176.635885679
206.991836547852,12.696021,1147292.375,2341945.08423938
206.991775512695,11.277676,794545.8125,2708750.77780497
206.991798400879,11.718533,740236.4375,2365488.3525975
206.991760253906,10.988094,878800.3125,1717975.62194912
206.991760253906,9.6957777,553524.8125,1969016.50883084
206.991767883301,6.7080261,238306.921875,491245.093472779
206.991683959961,9.9334944,610334.5,1101753.57642073
206.991790771484,6.167761,230734.375,424050.160503638
206.991813659668,7.2526142,250198.921875,618647.26704959
206.991744995117,10.845463,650548.4375,1897645.8270216
206.991821289062,7.9881171,280108.5625,805503.924916295
206.991836547852,7.5205855,252424.140625,651346.415844378
206.991836547852,6.9543875,310433.9375,411465.908832691
207.983657836914,0.27382133,133865.65625,262284.459176489
208.990608215332,12.700343,866047.1875,1498116.6394303
208.990570068359,10.499693,429326.1875,1769209.9845469
208.990585327148,10.806564,542404.9375,1578495.10926984
208.990570068359,9.8167972,405299.125,811044.508480574
208.990585327148,10.949194,447744.03125,965449.994435626
208.99055480957,10.076125,330979.78125,1241705.57997005
208.990631103516,8.0788817,228861.875,501008.670982402
208.990661621094,7.750014,175339.5,570568.850634027
208.990631103516,7.4427874,180235.796875,337562.816271495
208.990585327148,10.754698,465177.1875,812671.741917188
208.990631103516,8.6626148,248165.578125,539318.568978565
209.201156616211,12.215577,242931.78125,1044984.98989101
209.201187133789,12.6528,192355.640625,551124.530729534
209.20133972168,12.492881,193499.5625,366366.894969138
210.10994720459,0.44281165,866188.25,2715374.30608052
210.109710693359,11.904384,868995.5625,1974765.97547059
210.109893798828,11.619124,920199.8125,2323701.27305251
210.109909057617,12.034049,807765.4375,2421644.68687688
210.109764099121,11.243099,753710.9375,1758694.80372746
210.109970092773,9.8124748,378500.1875,1435650.10303061
210.110015869141,9.5012821,326144.625,1335455.16871316
210.109939575195,6.8765893,248072.5,607801.381929469
210.109909057617,7.1056618,271502.03125,854757.839353995
210.110061645508,12.211255,674399.5,1656336.38943748
210.109878540039,10.512659,402530.78125,960970.163729052
210.10994720459,1.5976687,170523.84375,793282.758432656
210.109954833984,2.3453962,164202.671875,700378.192311516
210.109970092773,1.0574031,147322.640625,443166.328045711
210.109901428223,13.909916,159941.234375,752460.863843197
210.109939575195,8.2776995,300318.1875,689425.667297381
210.109939575195,5.4200335,181524.46875,524136.197033678
210.109931945801,1.9045395,161527.078125,509120.277801329
210.109893798828,2.6004015,157237.9375,369636.170482761
210.109931945801,10.214433,379434.25,919403.590620939
210.11003112793,7.772011,240273.546875,591613.143987984
210.110015869141,7.7197592,272072.5,596231.657899554
210.109909057617,2.755998,140931.78125,342981.17764364
210.109970092773,13.953555,148108.96875,322166.589130306
211.216491699219,12.003793,1495821.625,4330216.57995926
211.216773986816,9.7217106,463431.25,1289931.88070988
