"mz","rt","height","intensity"
200.022842407227,9.7628717,238627.6875,690574.013486835
200.022796630859,1.2732769,173691.046875,436843.452326367
200.022895812988,14.587594,154182.328125,663652.02474868
200.022888183594,2.3978798,169387.421875,287147.260624033
200.022811889648,4.533009,170978.484375,306614.48871171
200.02286529541,14.250468,149557.203125,419839.67958047
200.023010253906,8.6823401,190828.140625,442618.234130825
200.022857666016,13.861066,172042.40625,570913.717261633
200.059280395508,12.723527,10983470,33644836.4594107
200.059204101562,11.867747,9507547,45149333.3480993
200.059280395508,14.972263,1450347.5,7728550.46378993
200.059295654297,0.10152258,1417762.625,7365875.99110134
200.059310913086,0.45207327,1817842.875,10798108.1299916
200.078567504883,9.546765,216660.53125,471835.422697033
200.078567504883,6.7978259,173701.4375,465493.126180632
200.095642089844,12.723527,5097396.5,18865575.4326545
200.095573425293,11.932578,4504632.5,12035357.9254874
200.200790405273,0.4304624,1069339.75,2656125.80885892
200.996482849121,12.723527,673898.125,1311320.54658425
200.99649810791,0.092878416,278764.15625,1401341.94547767
200.996459960938,9.9746557,281760.09375,898709.257467805
200.996536254883,0.25757775,279951.03125,1636731.93023402
200.996528625488,9.4171012,226123.578125,648593.450952197
200.996459960938,7.2041059,225467.03125,652566.972390794
200.996520996094,8.5958975,238827.484375,856170.397597572
200.996459960938,5.7216169,207938.578125,654112.458439602
200.996459960938,5.4925437,184744.265625,531309.075902812
200.996551513672,8.9027686,235632.890625,602659.297102307
200.996482849121,7.5974192,216947.96875,612603.998421512
200.996505737305,4.0791862,171150.4375,482340.99134723
200.996459960938,5.1251632,186984.984375,488985.760121669
200.996574401855,5.3715246,179376.5625,446813.551413004
201.062614440918,11.703506,1072531.375,3234681.88480121
201.062408447266,11.984444,1468831.625,2936377.91081725
201.062622070312,11.318837,892455.25,3272711.81595369
201.062644958496,12.710561,941769,2223913.47273099
201.062637329102,0.4563952,152547.90625,643143.076161991
201.062591552734,14.492507,182099.8125,571955.766504845
201.06258392334,11.22375,1079078.75,3997924.15773278
201.062637329102,1.2862432,176936.953125,594099.513963211
201.062568664551,5.8728912,561194.75,1289868.55282754
201.062629699707,12.818614,576917.3125,1963206.74618438
201.062698364258,2.1817736,202974.140625,520672.786424387
201.062622070312,13.41116,224755.734375,500132.277236239
201.062713623047,1.52396,163534.09375,391054.291880859
201.062759399414,12.516066,227226.546875,518429.579502891
201.062675476074,1.3640413,143837.625,394657.678164517
201.098999023438,11.690539,674204.875,1892457.41834681
201.099082946777,12.710561,535809.625,1371877.13189441
201.098999023438,11.340447,643100.625,1487823.97076771
201.099021911621,10.903912,576907.875,1972026.66131486
201.099090576172,9.7369389,499927.4375,2262217.92414773
201.099029541016,9.5813422,499631.5,1534275.22356773
201.098999023438,10.726705,682163.375,2409993.60263619
201.099014282227,9.2355724,459093.09375,1172676.39481944
201.099029541016,9.9746557,519810.25,1304300.02515795
201.098999023438,5.8167036,200823.140625,606842.95061257
201.099044799805,5.2202499,190596.3125,462926.533721363
201.098999023438,4.5286871,188202.0625,334222.559327116
201.098999023438,6.0587425,232063.46875,558977.959853014
201.098999023438,6.590364,246479.609375,444919.273231407
201.2041015625,0.43478475,227488.65625,427547.613442488
202.092315673828,11.318837,621108.4375,1945912.56284527
202.09228515625,11.677573,632844.125,1889001.33056811
202.092254638672,10.934167,522187.8125,1650602.09511472
202.092376708984,12.248094,282763.34375,969252.051368471
202.092224121094,10.514921,592361.5,2560188.13470565
202.092239379883,12.822937,330919.46875,1472675.5401286
202.092147827148,10.722384,707379.9375,1628740.9327594
202.092239379883,9.9919446,529372.4375,2066569.50026395
202.092269897461,6.3440025,306887.53125,1197172.87874751
202.092323303223,6.1797622,340323.84375,576023.732533054
202.09228515625,2.7998373,175686.53125,632840.405662943
202.092300415039,2.9597559,164544.171875,581841.857838638
202.092407226562,12.637085,267193.34375,552745.72479515
202.092216491699,4.1915614,215076.671875,586627.522182331
202.092193603516,5.5573756,243697.203125,546000.709307999
202.09228515625,4.4811436,231167.15625,634502.443372192
202.092254638672,10.800182,686637.6875,1298389.48590004
202.128646850586,12.827259,169272.40625,681217.045419617
202.12858581543,9.5597317,318444.59375,659490.768455952
202.128646850586,9.3133704,257662.375,1074611.00093929
202.128646850586,6.0198436,211595.421875,382671.564375954
202.128677368164,6.9404564,212437.984375,422860.741511205
202.12873840332,8.9503118,223165.671875,778813.131509912
202.128768920898,9.8579583,333374.34375,641593.680260845
202.128646850586,6.1278965,180529.046875,292850.799495903
202.128677368164,8.1809363,273836.125,742317.423794919
202.128646850586,7.2300386,292255.09375,524389.980738326
202.128662109375,9.0670095,217826.1875,516929.101736959
202.12873840332,8.7601386,265986.3125,560623.310680215
202.12873840332,8.4403014,219929.15625,507708.081867182
202.128707885742,9.4473561,245730.9375,712665.055089908
202.216430664062,0.51258283,2737491,11590304.1526602
202.969177246094,12.693273,783585.9375,1107542.21576347
203.112640380859,12.710561,1426295.75,4760546.38413805
203.112663269043,11.288582,1313427.25,5874026.91272246
203.112609863281,11.699183,1398674,4326681.57545623
203.112548828125,11.599775,1508170.5,5526164.26048678
203.11254119873,11.932578,1037957.25,3258193.74127882
203.112571716309,10.968744,1042204.75,2923567.74131622
203.112594604492,6.590364,722914.875,2560107.50957597
203.112609863281,10.713739,1325964.75,2979116.46427122
203.112548828125,12.040632,871152.4375,1744466.91219188
203.112670898438,6.3440025,585205.5625,1450379.85093388
203.11262512207,5.9679778,523442.09375,1139699.27249803
203.219863891602,0.50826048,356487.1875,1277613.83986483
204.052215576172,9.6937174,379182.40625,1417936.71128168
