"mz","rt","rt_cor","int","sample","id"
200.022857666016,12.870581,12.870208779886,1004257.00572726,3,33183
200.022872924805,14.888733,14.9158396576862,509590.032111329,3,33184
200.022872924805,10.151178,10.1503796985703,498257.265525009,3,33185
200.022872924805,6.7708681,6.77128931758564,505739.46621478,3,33186
200.022872924805,7.1555375,7.15385098208095,400875.611257243,3,33187
200.022872924805,13.806983,13.8137732021372,584876.8499911,3,33188
200.022872924805,2.331226,2.34082741724251,265918.467026858,3,33189
200.059280395508,12.701615,12.7013547208433,33557449.4852398,3,7
200.059219360352,11.897317,11.899241628768,41745352.2556195,3,33190
200.059280395508,0.079398734,0.0765312909699998,7160319.11933287,3,33191
200.059280395508,0.46406822,0.4643530132981,10172832.4048051,3,8
200.059326171875,0.30414918,0.303166589542768,7656317.54634101,3,10
200.078567504883,9.2046327,9.19899444109318,553103.530408308,3,14
200.078491210938,10.207366,10.2069404069919,431462.361239303,3,33192
200.095642089844,12.701615,12.7013547208433,19803781.8987711,3,17
200.095520019531,11.1323,11.1356577103703,16279990.3735954,3,33193
200.095520019531,13.304393,13.3058199293166,622026.514119827,3,33194
200.200775146484,0.42516873,0.425151023401838,2574802.42339737,3,20
200.996482849121,12.710259,12.7099811820276,1203893.11370881,3,21
200.996505737305,0.044821583,0.041653731766379,1163720.34513083,3,33195
200.996337890625,10.50127,10.5024910266888,754729.543625176,3,33196
200.996459960938,9.5849798,9.58089181550045,902257.168373505,3,33197
200.996490478516,6.9264646,6.92605593637039,676141.606672862,3,33198
200.996429443359,9.2175992,9.21200375618057,729075.412119262,3,33199
200.996589660645,4.2502496,4.25923978588896,852055.949228603,3,33200
200.996520996094,0.31279347,0.311880981161519,814036.464976865,3,33201
200.996536254883,3.7229502,3.73287405804566,700575.11565776,3,33202
200.996429443359,5.0113452,5.01829669619777,447725.034132494,3,33203
200.996551513672,3.9779557,3.98748602929064,868827.54483628,3,33204
200.996444702148,8.3140981,8.30751516219686,519073.652343009,3,33205
200.996536254883,8.8372519,8.83072566818569,690098.573079424,3,33206
200.996536254883,3.8915128,3.90118936142081,764402.709900354,3,33207
200.996551513672,7.4537881,7.45044421874099,659305.438182124,3,33208
200.996536254883,8.1498572,8.1435841677136,408338.505274618,3,33209
200.996505737305,7.3327446,7.33006383955793,430160.133401003,3,33210
200.996528625488,7.7434078,7.73860060131219,481023.46428321,3,33211
200.996490478516,5.2710905,5.27721125124617,337266.25889618,3,33212
200.996536254883,8.1498572,8.1435841677136,408338.505274618,3,33213
201.062576293945,11.74172,11.7441175637564,3759789.42497161,3,33214
201.062576293945,11.305186,11.3085691645699,4143040.7855962,3,36
201.062454223633,11.901639,11.9035517227745,2275336.2018919,3,33215
201.062362670898,11.573157,11.5764934154978,3010355.43636942,3,33216
201.062530517578,10.890262,10.8931869104834,4719355.11678649,3,33217
201.062484741211,11.184166,11.187554349863,5070614.81730753,3,33218
201.06266784668,12.727548,12.7272389826755,1853840.84618999,3,39
201.062576293945,12.844245,12.8438586715864,2670334.24676156,3,33219
201.062591552734,6.3343339,6.33670846717074,2508786.39247192,3,33220
201.062576293945,0.47271202,0.473063520435817,657784.66950592,3,43
201.06266784668,6.5072186,6.50890460433713,1631480.08063465,3,33221
201.062614440918,1.3112046,1.31708912374049,758407.627759642,3,33222
201.062576293945,0.1053314,0.102687463035068,197513.966067274,3,33223
201.062568664551,13.542924,13.5464963132967,725928.257257729,3,33224
