"mz","rt","rt_cor","int","sample","id"
200.022842407227,10.36265,10.3620178328452,547898.951862421,1,1
200.022842407227,14.56022,14.5397308751492,649047.082388456,1,2
200.022903442383,8.3354204,8.3348798944329,590199.177657787,1,3
200.022964477539,13.898935,13.888407618838,432840.314069996,1,4
200.02294921875,13.254938,13.2510855655272,534620.347305711,1,5
200.022918701172,13.747661,13.7389947391676,419318.788627958,1,6
200.059310913086,12.718592,12.7175414187488,35163454.2044388,1,7
200.059280395508,0.46837958,0.468506604737146,10377183.707418,1,8
200.05924987793,12.035312,12.0347473643381,18031758.8004601,1,9
200.059310913086,0.3171053,0.317199427064363,6053598.78209832,1,10
200.078674316406,12.852981,12.8514868184592,488958.984356023,1,11
200.078598022461,7.116203,7.1159341956381,533358.274935838,1,12
200.078704833984,5.9881279,5.98814026852063,300841.72812115,1,13
200.078674316406,9.2129643,9.2123296860367,550834.905662335,1,14
200.078628540039,8.6078667,8.60728479243754,486009.170528747,1,15
200.078704833984,5.6899012,5.68997459445391,291091.876821928,1,16
200.095680236816,12.705626,12.704608646451,19007169.7987723,1,17
200.095581054688,11.88836,11.8877528148003,22508225.8426759,1,18
200.095504760742,11.110377,11.1097447714111,15501520.9202179,1,19
200.200744628906,0.4294805,0.429599383844328,2650344.43651655,1,20
200.996513366699,12.709948,12.7089197598966,1417249.56521996,1,21
200.996475219727,9.8223839,9.82174932086863,795153.438246381,1,22
200.996543884277,0.33439392,0.334491970893837,788696.408831723,1,23
200.996520996094,4.7083841,4.70861755788042,930325.209479414,1,24
200.996536254883,7.3539194,7.35359021562044,552024.170951366,1,25
200.996551513672,7.7947765,7.79434279689865,798547.149238947,1,26
200.996513366699,9.995269,9.99463639146398,504221.596394848,1,27
200.996536254883,8.2100786,8.20956019766318,856088.205536227,1,28
200.996429443359,9.7056865,9.70505059703867,501591.684437562,1,29
200.996536254883,3.4938672,3.49421329047456,624215.286616528,1,30
200.996444702148,8.0670736,8.06658250642539,522936.608519979,1,31
200.996475219727,4.591687,4.59193557008857,418468.491858251,1,32
200.996543884277,4.9201683,4.9203721339563,454515.966707578,1,33
200.996520996094,7.4749391,7.47458008431101,529972.882589251,1,34
200.996505737305,5.2011065,5.20126677514965,401081.450871465,1,35
201.062507629395,11.313517,11.3128809193426,4758337.64754838,1,36
201.062591552734,11.719797,11.7191672037632,3031037.87120627,1,37
201.062469482422,11.516657,11.5160183796633,3204169.90381305,1,38
