"mz","rt","peaktable_1_b42ad67b5ffa65aaea420c60e1fab6b3 intensity","peaktable_2_54a6a55e44fb729a4104bfde9fdb6f9b intensity","peaktable_3_0f741699b76aff9fee4822748a201952 intensity","peaktable_4_46f664aac7a03c653f55ebe81c0750b7 intensity","peaktable_5_57332589ab361972997280ada9fa3ddf intensity"
257.099914550781,6.6443904,NA,NA,149616.333172199,NA,NA
258.101531982422,6.5622726,410855.628215622,308643.906465387,411922.576393664,332579.509595848,374673.443975685
258.1376953125,5.48392205,1851040.05242436,1884294.14033484,1211531.38209803,2397328.52381017,1900822.20087206
258.818084716797,6.3375196,4204286.39541792,3712069.09601604,1889022.78908494,4555781.00676996,1492483.41440055
258.936096191406,0.21739072,NA,NA,NA,NA,332360.51135614
259.096618652344,6.6573593,88413.3936365024,243491.018876085,354578.857898756,282424.485664628,166557.334020933
259.115631103516,1.3238558,443164.708743324,392936.24388202,507800.342507316,434779.41551014,437572.077439079
259.205780029297,6.30078345,242468.146831078,664663.129859251,258513.802048152,186921.650821674,227748.749702394
260.081115722656,6.6011717,483635.796205451,514999.202700489,466048.6480952,472929.675765914,382392.889077247
260.117156982422,3.5540736,3799605.9007832,1449524.41493596,3113296.02840827,3745884.36075879,615746.373967909
260.123748779297,0.20442461,820678.344425667,1843497.53744281,1386644.34373512,1074401.88951188,894323.453671556
260.153747558594,3.44603855,1645148.17746301,3404247.93627452,1333584.28436971,1542495.63712462,2641953.08612439
261.120513916016,6.5536275,1090819.93679016,438770.869586828,NA,109310.058214984,714193.267763933
261.131286621094,4.00359275,1768335.99355612,3960313.8640247,7163117.93423424,7426228.2068354,4873267.39360454
261.15705871582,6.5406609,495576.278207277,NA,689089.7522429,NA,NA
261.185150146484,1.3930093,3051618.7816807,7424361.33920326,6096271.15331492,5778831.84677781,5063470.83655159
261.221542358399,0.31031815,852966.88904968,NA,NA,795213.988375371,NA
261.997619628906,6.592567,91688.6599524446,279698.404409561,245632.578613644,265920.609569406,NA
262.134246826172,6.54498425,284547.006730548,229275.081406699,176139.6790244,436543.860756946,591206.607081964
262.188446044922,1.39519115,NA,1193899.63435205,NA,938699.009289893,NA
262.981590270997,3.5475892,5889487.50733837,6354334.42782265,6269053.88485255,6307458.95787598,3644608.10842704
263.018188476562,6.5838823,NA,NA,NA,NA,144217.969238717
263.031921386719,6.96524615,195347.434327771,264044.854927511,249257.652295312,232534.999641117,150617.963342587
263.170547485352,6.5471431,NA,NA,363047.858850652,NA,369558.242844478
263.984893798828,6.9611499,210929.901880934,238879.957008748,291125.880165978,644846.704103799,352121.508470877
264.268951416016,4.0424918,13718523.0551777,28485236.3308911,23930476.4548444,25879065.5173152,29136979.715572
265.272033691406,4.3795971,2243028.38612984,1962085.14793466,3034591.26327095,5035856.09054899,5412248.90481571
266.284423828125,3.4979041,890484.572216158,2125902.06605194,2097632.43091152,2125287.42177235,666121.047588657
266.974456787109,6.6184577,NA,99154.3175045044,144766.65214066,284248.145489131,NA
267.968353271484,6.6443918,183293.051044395,NA,NA,227123.857747492,183005.772018563
268.263641357422,0.49400865,851580.92881118,738694.881643517,768194.053702189,590569.817923113,713785.88610577
268.299934387207,1.7647526,NA,622009.246156497,NA,149501.299453475,NA
268.998657226562,3.2774963,9733972.20013332,12068993.5263067,12994993.4675648,16698622.7724211,18390781.286661
269.966278076172,6.62494225,NA,NA,186393.5692569,177134.831774245,NA
270.002014160156,4.9393336,2678852.0182863,534125.368300139,501865.1283695,522713.189332736,950214.914646933
271.002716064453,6.4952982,4225977.23950668,118535.499020899,4343607.15831363,4004533.15130149,4110731.68764264
271.154205322266,1.5399614,451205.47483807,360379.603008517,473804.823258378,259970.505603352,500810.117423343
271.188354492188,0.34273397,230090.473241923,NA,NA,NA,NA
271.973419189453,6.5060825,2289705.65040722,2225050.79881245,2452096.19318036,2650093.70837776,2619982.86788693
273.131042480469,6.55362645,298102.272120705,412687.563883252,436728.977843803,185421.420803556,345242.257951148
273.167358398438,1.1812242,451679.797810919,532829.13419666,398496.298110672,505457.145023766,502242.555012711
275.110534667969,6.5665951,249536.293104074,NA,225670.072566631,NA,366804.872135369
275.146697998047,6.5493064,406965.762365815,456469.350465355,96604.5320843221,196240.761034735,NA
275.159545898438,0.340591895,135287.946861468,10493461.0452966,9714925.88424155,8728137.01194787,8121912.30231097
276.163238525391,0.33845111,761436.296707556,1364658.57826111,1265752.64158018,1157824.15789996,970711.351454728
277.105041503906,0.22603689,134935.855578675,133121.162204518,77855.8882140363,2899839.93772119,2891733.54131423
277.126007080078,6.5536275,841941.018519494,917175.336625295,207549.826581702,167291.9216312,152111.530560897
277.168716430664,6.4844745,1094316.07894098,NA,NA,1276299.33411487,1167428.19623344
277.216445922852,3.2817792,8319668.57693918,2795143.95385154,4294449.04636972,5761832.61374064,4769064.34421027
278.219482421875,3.1866927,NA,368830.533482781,NA,376759.575604123,570466.722193148
278.220092773438,1.63504845,279179.438358247,298465.879999845,549499.674132655,265898.783053927,356193.167615412
278.955841064453,0.23035871,2000684.66718527,2013204.11588966,1971408.52276632,1952031.54052265,2024842.86922986
278.971466064453,6.6789689,307082.209045864,230193.396710404,231846.038805628,225995.341207383,283419.700029419
279.093444824219,0.68422135,249921.209259401,483902.816879805,274913.159950735,318212.134309228,203570.512782832
279.148361206055,5.5725256,1960736.23879239,2513830.47051451,1489138.60454453,2542031.64554604,2067232.96950428
279.184234619141,6.01552315,1671984.32218846,2640148.00763279,2929557.31310208,2433164.1305807,2461381.67407412
279.232421875,0.550193895,199523.440218781,460217.992891492,178081.227791609,NA,NA
279.268707275391,3.6232259,1373898.72311093,NA,1851945.32054671,NA,1778028.33198876
280.954299926758,0.919757435,289486.666101493,302117.275021501,304208.07812537,582869.214490457,272662.136586887
281.02946472168,6.7921747,213996.703036338,NA,NA,NA,NA
281.154083251953,1.3887276,693297.662815453,1875896.48416983,1575926.81387925,1438583.32771687,1487916.80310708
281.933898925781,6.6227813,156863.985086495,NA,NA,149279.247065944,179788.347892744
281.95231628418,0.77494665,442277.02970349,510589.635534856,402138.17714598,398820.357388015,567711.611175398
282.013946533203,6.81595405,172061.504468479,261214.734306188,NA,228022.168254737,250935.858951527
282.062896728516,6.61415725,207725.123881891,224862.727715887,496310.848975299,179672.407308723,343357.818368119
282.279205322266,4.4184985,3024834.60984842,2714335.68589406,1281512.11717357,1637099.06034508,1420341.57512523
282.949951171875,6.56447305,NA,176285.5705685,99502.5466641003,NA,NA
283.025299072266,6.8656238,NA,NA,214859.5391812,NA,NA
283.169189453125,0.67985914,375279.933432907,1043543.22732464,514622.466341341,276442.686168043,167185.105751707
283.175537109375,1.46866735,781654.249103672,607628.430521135,840538.508417297,587942.402164955,521616.780949901
283.26318359375,1.1726009,472695.354423846,198802.01213329,545659.832973775,194260.358843766,713025.11049853
283.282989501953,0.9521535,905965.969357193,630740.524781731,744832.475618059,637752.533745744,456827.45487781
284.294830322266,4.2369678,388267.666721508,5044391.36987261,517011.074620264,4703873.68044734,4884379.53983455
284.972785949707,1.7690343,833707.063734892,1542894.83861521,1344986.38324664,9174670.82348086,1513135.31999792
285.976104736328,0.20442638,1131042.38026648,NA,1054249.95182391,NA,939376.855659199
286.943023681641,6.566634,512675.15301316,591457.136699615,627273.659412776,396545.184149416,473005.149913807
286.9482421875,6.4801522,1579477.4359511,6922345.09364264,7632509.26839155,1515602.93045137,5644620.61414673
286.970947265625,0.20874615,NA,1056033.16026311,1119361.38310539,NA,1189793.22467731
288.030914306641,6.57739825,395110.271900677,235202.860594702,377491.002871272,466322.908139757,240804.319503771
288.28955078125,2.3136429,1026014.76516478,844401.120622262,958784.632435737,502218.823794807,1812504.51262121
288.290191650391,1.0602065,689640.211961788,459856.75722441,404795.739682697,304072.584991767,403902.228952998
288.944976806641,6.4801509,3787052.4776256,2909470.69078584,3198473.38504811,2909605.7925844,3002124.06177752
288.99243927002,6.5666145,1320260.9426879,1410624.14547694,1107473.19008269,175426.932178312,1393057.78338389
289.126312255859,6.5795611,564486.540102817,531609.635627146,522563.91217114,242583.188011911,591695.359337061
289.141578674317,0.23253835,NA,754352.134952714,701538.237617175,NA,NA
289.162612915039,3.428751375,87845.4419702124,339082.664061866,NA,NA,NA
289.216705322266,0.31247748,361309.875105919,277786.803113194,1284069.45151548,1156433.9841818,853271.262057209
290.220001220703,0.31247912,280176.159079147,NA,NA,NA,NA
290.943939208984,6.482333,2170166.86550511,2298012.54097258,2291743.73377849,NA,2003656.56100947
291.120803833007,0.21955241,397906.695652505,NA,458775.792116332,NA,NA
291.133850097656,0.33841211,523096.769225627,959436.874198162,863483.102900653,651169.765918317,730298.853108858
291.231872558594,4.8377423,NA,1718010.6943789,1728306.13029903,NA,NA
292.300018310547,3.627548,1914100.47735965,1270000.30615162,1597862.6440682,2078354.87426719,1862726.56620722
292.959716796875,6.5147267,231218.542020448,262938.000585866,396370.732768533,341195.590718615,247606.018047703
293.30322265625,3.62324695,368485.660944444,3999534.41571236,4064011.90528181,4534899.16148287,4855401.34080171
294.315765380859,3.835031,1542622.46624531,2271324.41876334,2187350.47600697,1657604.5423425,2001293.25905345
294.929962158203,0.2130688,1134082.6196204,889859.838419738,942507.469280362,1041982.0365463,1041124.27833111
295.22721862793,0.353559115,351786.951066778,292020.595472153,NA,NA,NA
295.319152832031,3.8998426,2442882.39710419,1582731.30280088,1456805.08500497,1278537.41361394,1468447.30987172
296.294830322266,1.0818177,328893.140342716,594618.35300834,982079.193928989,976871.472704487,286097.268344789
296.295516967773,1.0385961,1100359.05910418,343651.886808961,NA,NA,NA
296.306488037109,6.5838823,218867.720095708,401450.203233309,NA,430143.098383123,205464.97332321
296.928329467773,0.21310962,614959.911115351,635505.681565036,658928.132057081,523765.458650056,659267.434788115
296.957824707031,6.7567656,NA,NA,158333.946326074,NA,NA
297.007270812989,0.573966875,977574.19022446,896252.734376177,702936.3987832,667155.577478368,472096.226624345
297.043701171875,6.774874,NA,NA,NA,70780.3138569597,NA
297.092498779297,2.80636435,NA,1309751.90063812,1219101.26479106,1618741.12328729,1355123.68449669
297.991333007812,1.06452795,1508760.6155171,1368444.44378162,1616776.87980292,802283.342246863,1771380.38020039
298.347229003906,1.0602055,2951257.18488872,3122454.46530373,3044395.89032447,2843479.73405986,2803808.58931285
298.994873046875,6.7010244,173386.14893098,150797.091760183,NA,NA,147193.554356897
299.350448608398,1.0666892,590529.836387251,680513.30501051,409464.581374898,NA,465334.349113665
300.202301025391,1.22876815,307703.428394997,279645.431003237,327171.045601194,271942.807024218,467065.451221328
300.278411865234,1.1423271,316449.136391043,490514.900585673,566601.444970221,422541.139449373,477118.614093346
300.289611816406,0.95651483,NA,441309.138154399,446083.365113887,330787.34836643,NA
300.779754638672,6.6573987,NA,235952.357847207,NA,NA,147210.36091818
300.946563720703,0.20874615,8974121.16988334,8825202.52668048,9200325.47516258,8913790.95052528,9213412.55010162
300.964691162109,6.5925263,NA,NA,NA,NA,203210.145342819
301.093658447266,6.5493038,447794.828518349,NA,260907.858002106,NA,NA
302.056518554688,6.6962558,237686.220337308,158906.801629016,203367.837483603,236703.610636981,258534.273042171
302.912933349609,6.4326062,NA,NA,2902007.65281759,2873711.55044648,2708443.03757435
302.944793701172,0.20444559,NA,1244351.13892889,NA,1176057.8849611,NA
302.974517822266,2.7588002,564005.033423462,584357.006295687,1396556.72049905,626107.022722112,740537.307308161
303.1416015625,2.8020215,346531.8734006,202270.018384034,271794.461336774,276087.54092304,386690.839096083
303.977722167969,6.5752783,NA,160784.619685242,NA,NA,NA
304.008331298828,3.8868956,3226964.8593724,2656969.3210524,3300660.04573146,4225279.0160387,5735616.97473324
304.300201416016,2.6680769,386206.342693495,314781.075738396,589092.721601038,287306.45602474,270754.426288267
304.970245361328,6.5579506,847761.083946693,865724.402879977,153066.198189115,743793.557884985,152658.616505461
305.011688232422,6.73773965,486436.374674189,556216.849763309,279953.944254564,400663.241909148,192715.079752502
305.136672973633,0.2217145,349991.379482906,NA,NA,NA,NA
305.157592773438,3.5303007,3495086.37550575,3408969.90632418,7191514.10212049,2529419.22135733,6057372.71731597
305.211242675781,0.33841211,746600.990545103,715213.427117318,329876.128367236,395106.612405179,389549.936162866
305.284240722656,3.6145831,4166607.30562322,3490634.28058534,4561953.22877286,3905089.72526241,4079350.87273034
306.160919189453,2.7588022,406199.42744756,307176.765842556,197076.671153605,299091.888822577,402324.8140489
307.226989746094,0.465934325,258654.048805771,481756.449064795,340937.115660511,399001.79117471,223217.804107759
307.299926757812,3.601615,NA,NA,NA,NA,1629338.03321278
307.299987792969,3.9560701,2278341.70335508,2740410.68771529,1874801.95542222,3078760.5266788,1435847.80735041
308.230346679688,0.30815507,1248757.21481939,1126213.54274533,1002046.36122004,853188.649464366,665949.304761956
308.295013427734,3.62324695,785087.518809664,861124.601474071,831394.562282517,787627.935410102,1007926.29665358
308.933837890625,0.20442461,1013423.25864779,805574.390688908,910957.874611664,879921.536188692,886353.966480188
308.991455078125,6.4974408,4103355.95989145,4493855.04948073,4098058.47608393,4834927.34597519,4464438.63730313
309.243026733398,0.900307935,NA,665419.742819805,426531.475627461,427348.000453071,452306.243077744
309.27880859375,1.2330919,NA,447897.011138697,NA,498182.505674061,509165.995531782
309.298522949219,3.6232276,2751296.43505248,2150063.7337611,2292317.7674066,2603678.89211411,2454009.54660811
310.169799804688,0.33845111,NA,244785.238044783,NA,NA,NA
310.310607910156,1.4794528,812692.950274733,811954.469668357,861121.003280694,805184.87852053,712389.427733018
311.258361816406,0.59773758,511064.669968898,593747.345395435,501267.937706379,553408.873950674,505099.62757186
312.362716674805,1.6912364,NA,NA,NA,934986.047568845,312623.989155423
313.025024414062,5.3952975,591280.074207987,990229.00115583,1108807.15757924,1126195.91566884,2365883.26495916
313.236557006836,0.5285835,279411.597377546,NA,312190.433566362,354413.40388947,293950.413214708
313.274154663086,2.65291025,1103981.16421327,2269798.97958095,1023705.8972589,1115961.48566742,1212148.81313651
314.277404785156,3.5886501,1515269.70603524,NA,NA,NA,NA
314.779724121094,6.3634537,3321104.20784094,3902095.74596664,3918101.80092129,4360082.67854179,4006931.76396072
315.178924560547,0.26061405,NA,NA,NA,512787.646899215,NA
315.180450439453,4.4422694,1645970.63889487,2134512.89958639,696645.47140619,3111876.94319416,461627.968734616
316.002075195312,0.71875679,277680.591019889,263577.055357282,383640.329080706,532852.836867114,472683.47433511
316.038261413574,6.79390625,265077.935348619,366844.057442928,216746.17536035,331410.961393158,442042.66607313
316.186157226562,0.33841211,872832.18250976,1432845.36941779,1203968.52629917,1109505.66237217,1056229.7816635
316.321197509766,0.928401435,242245.361384081,251222.902346846,200373.10677334,274833.960435882,810591.337556678
316.921188354492,6.5147267,963395.056773144,1046677.4236325,1104740.7302023,736867.540813735,1010596.3022861
317.022277832031,6.69646765,320522.473336898,279627.594924993,254483.419894701,192304.396531792,358679.836139353
317.157562255859,6.5363384,826965.88295271,149110.177895217,935492.406799939,NA,841390.311184328
