"mz","rt","peaktable_1_6b90e8c752d870980615d885cf6a8cb2 intensity","peaktable_2_80d57e6d648fd28c65648c9d92fff215 intensity","peaktable_3_a485962c3a167c541bcf4e4788708084 intensity","peaktable_4_e9b20dded3643d2f592ac7a5948734bf intensity","peaktable_5_941bba646ae229c9ebaeb2164492f0cc intensity"
312.362731933594,1.5183496,1351318.84428243,5797322.00156054,1247315.58843178,5723931.43190456,5960699.71201145
313.024932861328,4.9933534,1709243.44908733,1129385.9091277,560937.589081314,14952955.0375655,2037009.78328365
313.273803710938,5.8620852,5984048.8447143,7773943.08936827,NA,10556883.7210813,NA
313.366058349609,1.514027,1121799.68853422,932082.738695112,978349.907472327,1023786.83659969,1106048.47276903
314.779594421386,6.3526422,3549047.42693683,2001734.72517664,NA,4424180.12886358,3958257.93830028
315.180511474609,4.4833264,1996775.12921811,3177935.6032447,1567679.8060575,612796.807038559,1693983.32220385
316.002014160156,7.0471356,653282.208169642,512669.394652618,425346.923486765,469550.914405586,583738.374305909
316.321411132812,1.52267105,1193399.10557592,836433.811829602,NA,782741.181680999,461576.100884813
316.921295166016,6.5579471,1076693.85104145,1172832.10293643,1365711.30962902,1035781.02220978,1096498.05650306
317.157501220703,6.519048,811812.50221798,767033.033006177,566844.095284727,761173.8437979,860080.856680855
320.9404296875,5.5163086,4124820.63507218,1013761.09866788,4323844.87694153,4111475.99440286,3155069.35476722
321.131469726562,6.5233705,NA,NA,NA,565458.435062209,NA
321.152282714844,6.5406742,NA,794269.084377829,NA,NA,NA
321.242721557617,3.6578165,1168834.73181582,1302144.41007421,796401.447513023,1128306.19611198,1392128.42774897
322.937438964844,5.2526585,1603070.97913915,1872712.93431449,NA,NA,NA
323.039459228516,6.4888084,NA,1420587.45480657,888120.243637123,4172676.04382727,1381396.59389689
323.040374755859,0.39243477,723179.855272867,958488.705875432,514409.472919093,817873.623932426,1074463.24567912
324.29012298584,1.04507275,323595.623957577,NA,NA,NA,1100136.38846437
325.237808227539,0.30815355,NA,NA,536639.155488384,NA,NA
326.378570556641,1.0731634,6293308.98104888,6344241.51582459,6151527.67984987,6458017.52466965,6318376.33664504
326.957443237305,6.4714973,6197498.13029718,5222791.14894125,5868157.90050509,5851589.17329954,6606625.56135149
327.078430175781,3.87391525,1983696.95486837,3143691.0515477,4137940.56275002,2813566.04094168,1435419.00229582
327.201599121094,3.48491275,1168289.01774727,596731.96201349,1492829.60937066,650239.636129509,1004972.70766298
327.381805419922,1.0731861,1255979.67145402,1252523.35582893,1233361.32903497,1432691.34161086,1226710.00665511
328.081726074219,3.3163685,2656816.95752999,1991115.97848646,2242447.57433158,2691717.87728026,2211415.36777764
328.926956176758,6.5233692,1545653.9420819,1692391.1529976,1523440.11200683,1768015.245571,1719057.61618244
329.007385253906,4.6756691,284706.567905545,303567.949504402,313262.539969793,684735.608134458,356480.802487359
329.193817138672,0.24332183,NA,NA,630367.071609408,NA,NA
331.20947265625,0.2476443,2399714.38927333,2537077.02902739,2447620.5811997,2647672.88696819,2659619.98330756
332.331512451172,3.8955146,6733582.01694413,1459989.95194154,1651523.02074145,518375.155798027,8349488.66096219
332.952545166016,6.5449805,1448592.59180343,1352808.09106341,1501487.00755676,1161044.52628328,1320106.53753038
333.15251159668,6.5514635,NA,NA,NA,377508.31529537,598705.908561191
333.334808349609,3.7874583,356219.180175745,1633208.34077155,645722.58725775,1937910.83250002,712433.992037439
337.274047851562,3.368212,2488736.96221238,3250813.30782037,3327645.15701236,3321279.88077322,1846975.68617794
337.983947753906,6.75697425,363130.272250209,384757.869055178,537646.869497224,470585.374224365,860639.627116876
338.277374267578,3.2860917,1460405.33125008,702124.762214398,1572482.41703968,615169.523819629,1523792.78051702
338.96809387207,0.692827825,559742.521017925,618649.477954727,457850.160829641,609793.263086498,1518040.75161797
339.018127441406,0.2951879,8498082.67965255,4743509.04335263,5321010.0186159,3400156.11743109,5817846.85222975
339.289733886719,5.8447957,11701238.9552467,4355793.7082321,3038086.66432796,4353216.05354193,5065052.01145076
340.021453857422,6.7787798,557492.645646608,1000499.46285632,588866.866377696,590239.596544993,662810.090300905
341.266632080078,1.816569,751346.886337783,551354.709811736,1289808.70824188,870594.273500815,802219.03461324
341.305374145508,2.44328375,694300.940717248,1408659.16426153,618101.722132455,1592317.75983307,641119.18040728
342.071487426758,6.6443895,286815.355918514,836559.362195565,525356.218392093,363356.031404856,791745.354890705
343.29606628418,0.33408618,NA,NA,603270.485771611,NA,NA
344.228332519531,3.6448347,1941288.74946994,1224500.18032499,898237.868871188,1593133.10958249,2071366.60244212
344.984985351562,6.0263256,8436918.86726994,7628058.00943908,11297803.7248676,8707885.09159954,6384151.36426728
345.988342285156,4.03814475,504032.084013818,2579531.95683469,514302.270333097,1259455.52355806,799209.389937449
347.168045043945,6.4758344,957048.800430921,1764325.89193947,1472379.73220783,1945256.30058553,942263.910564087
347.219718933105,0.310315,NA,787638.287254749,985542.483156385,1022970.43367853,935337.765718458
348.978057861328,6.4974365,1378708.52686204,1353688.67536615,1097497.60387008,414800.425709517,818273.615247217
349.183715820312,5.3866504,12398940.5555362,1890062.21408396,3034245.92636194,14000843.5306086,13712971.365261
350.187042236328,4.1332319,1688613.73089254,1566406.62942515,1491188.40601809,1465724.51532974,1073030.63260199
351.001899719239,4.39472015,3242547.67888388,2388133.28338751,2220895.83555281,3112373.80484718,3762681.35222005
352.005340576172,6.488793,6245121.21227362,7470795.63065638,6907513.38171494,6830366.97739573,7016417.89918833
355.282257080078,1.63288145,550525.354029279,3119648.56629329,1020208.91332261,2455852.96342997,1731990.86279502
356.279907226562,1.3843624,311858.765668859,758318.9320155,431349.946528338,482843.784964163,388706.898163378
356.389038085938,1.0342644,17049925.7318725,16059861.6601904,17754041.1018333,17476582.3054463,16684399.7938826
356.990844726562,0.71012742,510783.155470385,584957.989382531,1037089.29982116,507557.629095564,739779.895309754
357.392395019531,1.0342709,4245962.21005387,3907842.50432959,3931418.33695046,4014391.79797448,3916002.38408812
357.988525390625,0.32111402,552736.994677509,567864.626982749,672737.482181016,437318.6096097,651693.313240924
358.049026489258,1.51619625,1171357.79678522,1413388.84811776,1664210.2109445,1147382.956148,1077259.21086258
359.206756591797,4.0424708,2597841.41313947,2362893.0787529,2156133.86732991,2535757.73347179,4830372.25590376
360.362854003906,5.1294919,600221.779126915,723005.320584518,364942.132047419,12721634.0157814,12225002.4024616
360.958892822266,0.99105769,541226.423287729,428206.726719732,643832.223199642,528576.256539749,443134.011313565
361.162567138672,6.51688695,495828.89416188,1470530.35756312,683923.786885539,533052.176620886,NA
361.18359375,5.1619002,1082440.9457971,NA,683624.911337038,975037.624614613,934015.635057234
361.235321044922,5.7540309,24031179.6579764,14075964.7644088,14909119.4140379,11237879.8318075,18113976.0114219
361.274108886719,3.1996544,2601491.97371922,2504052.53581237,2724850.68643181,2533475.71604679,2312006.76577659
361.366149902344,3.6059362,2103398.64190443,655029.273113239,799482.152037099,666551.414825658,2440284.68470857
362.238563537598,4.200228,1908996.41174627,2162818.8775127,3021657.92820045,1238328.82052278,1942384.95811283
362.277404785156,0.62799093,NA,NA,445869.873660537,NA,NA
362.95768737793,3.8134051,1109029.3675785,856613.970249836,1046065.89209504,971020.925564517,246737.322589743
363.31086730957,0.5977522,1073972.60099045,1026104.46729784,553715.524933499,338621.802489094,1081005.58805853
363.955535888672,3.4092833,570399.447766456,1009756.5480031,1030660.60947002,975835.410657187,457371.152646382
364.01700592041,6.8941288,363302.454471728,864050.747488666,532581.025292224,756103.879773113,671925.80691951
364.261611938477,3.3012252,2578554.59669229,NA,2681644.50221701,2432263.25851762,2783393.05565128
364.953247070312,6.5017522,4440384.86913494,4648394.35099192,3851230.36176182,4058940.27433935,3996805.04807027
364.978881835938,6.670338,718001.116431475,498217.097050947,866682.48766153,628733.295416672,693370.870361951
365.157684326172,6.4714973,961006.586267389,2727819.29177627,281186.933995544,559056.367867218,395025.135784643
365.178741455078,6.5666067,NA,445355.414016567,NA,NA,NA
365.269035339356,3.0570249,NA,NA,1351804.51124287,NA,640903.622492108
366.950469970703,6.4888084,NA,1192213.28335826,NA,NA,NA
366.975997924805,6.4931114,357707.563852434,401606.326703128,567777.118511105,311311.079808636,430227.373292816
368.946411132812,6.57091755,1477689.99762629,1268905.57741238,NA,NA,NA
368.951683044433,6.4779875,10133295.1217479,9766905.9153328,9417797.33894029,865910.509199057,10624845.4053038
369.298118591308,1.6458483,440101.262690532,898963.68849272,824512.463949799,NA,620103.439356938
370.948501586914,6.4801643,6404171.9939619,5950141.52704411,5255237.78071365,5980880.34944057,6076502.48312888
370.995971679688,6.5709127,NA,NA,NA,NA,385312.114111921
371.163360595703,4.4962868,1826590.64407274,NA,NA,NA,NA
371.22802734375,3.3379625,1804588.58840373,2057096.70531899,1776904.10970171,1477252.52360166,1779614.71454541
372.738494873047,6.3504779,4661845.65780256,5261758.06726145,6832895.80933399,4022665.94627662,4681761.1337463
372.947296142578,6.4758271,3166683.69111016,3952631.92477364,3973070.81763195,3843328.51033009,3659533.90545354
374.735473632812,6.3029571,NA,3863210.6462771,4263709.12332357,3408644.39243591,2541470.21554013
374.963256835938,6.5147251,5714985.20522171,6150661.93879728,5779147.52013836,5571362.48112701,6183397.16325133
375.250961303711,0.913259195,NA,425009.045649162,459771.61569466,475217.059259124,606299.659629788
377.080169677734,6.6184572,869745.47601632,1104994.81931534,1016568.51172186,993875.626486526,1019757.17465447
378.960678100586,6.9287082,302217.895418443,360281.021635666,384162.378938108,NA,310597.068338596
379.994522094727,1.4059737,NA,NA,1492042.43892853,NA,NA
379.994644165039,0.993209825,2259727.71541732,2914286.25540261,2151344.76166499,1974884.54744028,2835727.88862179
380.998016357422,7.2031703,484288.178707189,405531.842292716,NA,514975.65790395,481680.18188069
383.14111328125,3.7507338,937612.866429846,1314163.24412089,1126551.95772394,1090863.36741382,1744423.79242753
383.279479980469,4.1850939,1840625.92504295,1892033.09764408,2113720.60477668,4465718.76945941,1937213.15256582
383.279602050781,3.5843256,1902285.5405385,1271582.52973419,2348272.80950296,449655.539604397,1550786.03272631
383.313781738281,1.7647094,NA,1385250.12579094,NA,1480920.4342425,986575.904624065
384.144424438476,3.30339445,2329223.23819966,2660387.48961468,2257130.76472191,NA,2708302.01180626
384.283096313477,1.4189402,NA,NA,381990.522426232,NA,NA
384.916091918945,6.4520627,5468654.72569235,3412778.04705432,5648874.2253298,6260764.40171719,6098974.2787327
384.977600097656,6.4931152,993050.039805747,3929483.26900051,3968758.36987847,3959433.32101512,3840796.48369311
385.292846679688,2.99004075,2253053.2156487,1632807.91875857,455663.570924044,2083931.09524122,1778263.58164547
386.011566162109,6.5276849,570792.474327891,NA,NA,NA,NA
386.296173095703,0.60205898,NA,NA,NA,422515.997220299,NA
386.9130859375,6.467182,NA,NA,3331829.87487453,NA,NA
387.136077880859,3.3120296,5065823.10650005,4401007.94854388,4325150.91559108,4609575.1048022,4461825.21574932
388.254455566406,4.7037551,3337588.44051977,3078357.44675792,3880727.63405323,3438766.72526569,2156240.25587662
388.254608154297,2.1104793,1938360.23997459,1211116.30765463,2268652.41191544,NA,4029685.13713858
388.394226074219,3.7312771,1386342.63300144,1006763.68845169,1407654.20301723,1608269.97466369,2502390.83391564
389.230346679688,6.5709099,520875.906366808,445575.291505261,NA,680031.888151924,579408.569447231
389.251281738281,0.256295725,NA,580832.13437088,NA,NA,468221.026319569
389.397567749023,1.78416415,2060977.19845977,541233.10975631,NA,NA,1831745.28954806
390.994537353516,6.4974375,13387071.0505038,13304841.7215006,14327287.3786256,14082763.5859087,13410105.4944227
391.194488525391,6.4715048,2811222.9433348,2668455.97252185,2474584.4473809,907650.841427524,NA
391.341964721679,0.973769025,NA,443268.746947332,535936.230096457,NA,NA
392.172576904297,0.37730722,NA,NA,NA,NA,294638.7021327
392.292846679688,3.664284,2279955.07655418,5112808.78275168,5872085.65598061,5246691.86019987,5860812.07965599
393.209930419922,5.736743,10837546.1516401,2605240.16585432,16888904.6168958,19966426.5231929,16610708.66828
393.298004150391,1.9721688,3363318.90920353,1026766.07193356,3779308.41112583,3729650.83689792,4024600.78485604
394.213439941406,3.9949238,2145469.36101168,1680734.27304741,1381399.4541877,1253330.01343894,3004610.78061049
395.028350830078,6.4974375,8383759.36088954,7975283.22687665,7349984.62267071,7686275.77355819,8713753.23461304
398.174072265625,2.1645037,651960.740106142,429740.61869021,345421.780881954,334012.784199843,430038.584769136
399.025726318359,1.3411421,445020.040250845,695275.530203155,420913.072397033,384075.150182288,614912.051039651
399.17822265625,6.3893838,NA,NA,3059667.55542822,NA,NA
399.272308349609,1.8597975,NA,NA,NA,1315876.80467053,NA
399.308670043945,1.7992805,619076.48661863,679959.499857574,764523.543535406,765119.888432344,1090894.8993225
400.306213378906,4.2283206,7238696.85562323,2120847.05569833,7297404.21916796,7830889.62521619,3816373.12922268
400.342712402344,0.82464744,870493.168925993,859961.898206704,927805.28529423,NA,852862.546010346
400.415512084961,0.98240518,NA,NA,NA,706808.452551131,641921.327395092
401.309448242188,2.07158895,NA,608099.17996125,837542.295507093,NA,790081.254911813
401.309722900391,1.4016672,690456.11709314,521509.160710032,447336.973566801,643988.841961221,423101.521046697
401.342010498047,2.0283602,NA,1731099.00043171,1798685.14930452,1908298.83871134,2350610.14883794
402.185852050781,6.4931077,1560605.48126466,NA,NA,NA,NA
402.943969726562,5.20729095,NA,1668807.84425128,NA,2440674.00882611,NA
403.233154296875,4.6065045,4974935.75595362,3679240.61537485,3816046.78587974,740294.659309912,900978.507770857
404.914245605469,6.54281935,NA,NA,NA,529319.092852684,356239.326669025
405.261688232422,5.8512872,39991087.8631067,47057068.3346729,42634719.2250835,35961410.0457743,9578557.50153146
