"mz","rt","peaktable_1_c4b3914dd90735a33a45120d8df44ff0 intensity","peaktable_2_1b1006ad6cb397288f90b10ef7667b13 intensity","peaktable_3_f4ec1ff27c5417004501f1ddda634b82 intensity","peaktable_4_bf770f1972fab092cbade6df4f371c50 intensity","peaktable_5_4140721552f8eb635981a4efba2257d6 intensity"
245.100036621094,3.84581485,278135.558238654,317788.407620003,401458.817119183,272596.799043538,329054.631220685
245.115219116211,0.24763987,NA,NA,223223.804788479,NA,NA
245.966697692871,6.6227806,185578.620932934,NA,NA,194865.427212866,NA
246.137397766114,6.56874595,NA,NA,207537.112661485,NA,197415.888681939
246.923904418945,6.5190511,1317532.83351509,1256746.45211855,1290687.86089233,1193261.32487057,1234696.35786149
246.951477050781,5.82534395,1890053.39991844,2082246.23715061,1414011.32931046,3348448.59244818,2589472.82667034
247.004089355469,6.4974422,804630.245605379,327059.508739783,414543.575953911,231557.48014369,281994.939539145
250.119003295898,0.353534135,NA,385896.579546584,490659.909544615,561704.734023337,354853.159980564
250.941749572754,6.6834901,208801.568192741,117120.264318881,242560.301436005,192233.88501207,230525.0873949
250.949264526367,6.5104069,1209508.58659133,1008207.15934417,984436.916512887,1314992.98003152,1178716.72803375
251.046890258789,1.0429176,195647.666471482,657322.824452744,NA,205084.318512377,379203.305428851
252.268981933594,4.2499236,4029406.52114816,4459912.70616584,4695133.45956454,3310680.42592111,5046416.98243762
252.939762115479,6.7137469,NA,NA,159738.745430604,154809.470426929,NA
253.066162109375,2.8020112,NA,NA,NA,NA,1571926.71753099
254.82413482666,6.30294345,7609873.94516099,5266044.91174029,3995013.97704428,5795166.40505298,4333365.16938346
254.996734619141,6.7939156,231520.12617409,199685.714663274,212129.710055546,310209.044909041,267802.980499373
255.232158660889,2.3525151,NA,NA,572170.05492764,586409.190856595,734480.405021163
255.981037139892,7.0322282,324382.169736493,223007.275849479,232371.466574099,201657.932039071,166420.679078333
256.820770263672,6.2942948,8181564.59424118,8360787.5818997,7960613.74234375,8916479.65576575,3850613.19315962
256.964965820312,6.7096209,385045.252952105,371533.958933487,451758.033572214,259336.938619006,406073.894669416
257.099914550781,6.60981415,178770.371414947,NA,NA,172206.430652672,NA
258.1015625,6.5881981,412917.954912961,390395.840421889,302447.91145356,292558.572968728,367562.664177986
258.137725830078,5.3931346,1718390.03719537,3574775.99784475,2583558.24584269,1846494.43062836,2917040.39008522
258.138275146484,6.4758272,NA,2619612.12203869,NA,2657915.27787087,2376860.52344547
258.818115234375,6.3634545,3742525.43769491,NA,3497063.97480789,3735500.26082141,2179028.09187256
259.097152709961,6.6530364,120998.869428527,325949.779156068,246378.192888098,308192.365633499,243882.722787683
259.115631103516,1.5745416,472423.872936811,713151.641139654,428183.407359404,471516.351059674,618021.360886009
259.205780029297,1.8036085,285179.92117385,277536.368003692,340641.647142723,366255.745366738,191772.405363803
260.081115722656,6.6033289,489067.426053714,431882.702060006,443777.99492854,NA,425006.010849594
260.117156982422,3.1132162,4200299.50981967,353157.704303496,3463394.49167869,706972.0537467,1171295.83038286
260.123413085938,0.2152259,NA,706901.087374352,578563.350969858,511082.319749461,341609.727401116
260.153747558594,3.6232244,2202891.15294308,2528559.00831152,2450339.39817104,2255236.29911869,1428179.22249553
260.963760375977,6.56226965,173559.309342241,246845.226347322,233666.621930719,NA,215282.026999182
261.120544433594,6.5536209,830579.034198046,672153.998986304,766942.813808296,870772.147594008,838367.904009283
261.131286621094,3.53893975,4627593.23896179,6077430.1033035,2643757.71522542,2040487.54745999,4614693.75724422
261.156768798828,6.5147174,NA,583003.436217891,1111061.1486585,NA,884202.146036085
261.185180664062,1.3886901,1006457.57119257,3127729.76525378,4787306.33510284,5148705.51725156,3314303.60220773
261.221618652344,0.31031053,NA,NA,NA,489614.420204571,332569.151785494
261.997764587402,6.59252805,319695.568857239,271269.285568283,118307.609402248,283739.126480966,295755.796125693
262.134796142578,6.5320148,317055.180151568,407975.272161959,291833.282775352,239163.123082714,353858.251553939
262.188369750977,1.3800364,NA,NA,885461.552545896,NA,NA
262.253387451172,3.3855118,NA,1763148.45410156,NA,NA,NA
262.981628417969,3.6405083,11379705.6937844,6267228.52140392,4557800.91486077,5253071.30596294,5624391.22066762
263.031921386719,6.9695584,229352.887343929,197726.744257221,195035.923646579,182310.865088346,197165.767776648
263.170532226562,6.5471354,NA,387880.782054865,330370.758815415,148954.372050224,183702.783837825
263.985412597656,6.5017625,226315.890707485,169355.627788195,221957.350308857,224342.811135062,262037.684696373
264.268951416016,4.0640765,43244961.3640031,42692825.2261736,39672360.5661932,38515323.6477229,48885288.0113082
265.272064208984,4.1159422,8212706.19855387,7822502.28683474,7545431.06097003,3289522.18077562,11949561.7555607
266.284423828125,3.9300993,2337014.27570307,2667495.81788889,339058.885109977,419670.416902897,310379.054847561
266.975021362305,6.5773903,186139.41337398,230102.054360536,271803.726826872,NA,215492.834718851
267.968322753906,6.6227701,260556.674431736,262862.738517512,249427.100327288,240190.260124709,335027.004268161
268.263519287109,0.4940103,777109.190802017,751125.329412471,751132.789426507,665575.530105036,723584.795884635
268.300079345703,1.6890777,NA,466510.730619703,NA,NA,NA
268.998657226562,3.64916025,8435972.04429862,13257282.2750355,14022316.160886,8509277.46346162,7955917.57130474
269.966598510742,6.6206139,257058.150198312,245585.338290888,NA,203049.227033127,208613.856785051
270.002014160156,5.14029365,2737374.61951182,548218.544293017,450467.839785115,555494.120577096,572406.189466118
271.002746582031,6.480152,3854334.77236874,4142465.3975863,4085682.57160093,4373606.33703058,4397720.37225727
271.154235839844,1.6566524,222809.135179025,360120.719391089,322137.618737724,243330.0580988,295328.951780916
271.188354492188,0.34273567,NA,204752.024303207,NA,NA,NA
271.973449707031,6.5017598,2758074.757981,2429952.90031957,2452924.24784231,2686017.87214268,2925463.77712371
273.131042480469,6.56010995,146004.476303424,126509.110283965,539361.689114034,427620.953978088,NA
273.167388916016,0.79871439,470132.884908159,491578.066061299,454219.858805434,441397.219978779,444468.258874948
274.910430908203,6.5449835,335609.928525165,337996.406591052,379069.521805726,NA,NA
275.110534667969,6.6054911,NA,253980.875577388,282124.831938994,188218.690241219,NA
275.146697998047,6.5406547,NA,NA,463565.066990612,133238.371459065,476707.829098469
275.159545898438,0.33841153,1792188.2550927,3710163.89841991,5039677.30086156,4864500.88084542,3877193.96944442
276.163269042969,0.33840239,NA,444732.020632351,659454.390663056,512791.303335401,393589.642278694
277.105041503906,0.22603632,225679.170936185,2397230.02984523,115681.306444735,2281015.37012262,138666.209343129
277.126007080078,6.5579517,778956.137110371,890977.23385391,173521.315731013,155333.677023478,128231.970818717
277.216461181641,3.2644877,2094306.61273551,7677077.96606659,3842161.83482663,1352724.75833715,4901587.35528675
278.220092773438,2.5210827,245065.847928441,883954.416904225,1468841.7677923,2498748.02557896,374384.850876937
278.955856323242,0.21738046,137133.767852709,1714562.76005017,1689604.1580169,1644762.90086403,1714262.2428321
278.971466064453,0.71443328,260747.408825064,253418.541950927,286352.665790691,406040.480610543,341287.615471177
279.093475341797,0.816003755,248513.901736813,243204.548240964,262657.616435428,168977.912705133,226271.577047416
279.147918701172,5.7324128,NA,2186722.33736826,3347344.70985665,1696970.03819288,1939009.48664587
279.148529052734,5.9333992,2056323.84854474,2615282.3793221,1591326.12080944,1701767.73585488,3581515.67406954
279.184844970703,5.980937,1829372.62093519,1243097.35342508,1797133.57411647,1461727.04527273,1559292.59038277
279.232276916504,6.61845505,265780.050170907,285274.194620006,196412.143407091,NA,116798.970469279
280.263519287109,0.63663522,NA,NA,NA,195159.389243258,NA
280.954681396484,6.49311255,291677.102697084,202512.096502852,259784.512187121,243010.237822347,256869.916260632
281.029479980469,6.8919598,NA,NA,NA,NA,181583.522453568
281.154083251953,1.388685,NA,380398.032304005,690646.815253872,898865.944124556,NA
281.933868408203,6.6184573,NA,NA,NA,232270.558888193,77035.6895881996
281.952331542969,0.78790328,290887.016636188,215133.067500478,175222.518646649,276277.685074377,309382.280522074
282.013946533203,6.8220129,NA,NA,235223.629967229,229386.763673799,166432.339708815
282.062896728516,6.618455,187457.34127604,311378.357636436,335948.789794473,370475.956932014,215613.578965192
282.279205322266,4.3839139,4851839.17838083,5594370.77923009,138148.318175753,3078405.96403984,5322151.96369564
282.949951171875,6.4844739,1460617.41013532,NA,NA,NA,NA
283.025650024414,6.79627645,204812.20773788,NA,NA,NA,219296.741586667
283.169799804688,0.65824567,NA,NA,154589.495594847,122444.120939114,268046.394197298
283.175567626953,1.04724,535695.814428539,506454.080647678,666286.885060785,608920.660099238,686351.607380838
283.263214111328,1.7863166,512933.012624014,663985.090009873,187272.39604016,537150.039670688,724523.109531634
283.283020019531,0.94782008,534228.942057672,472920.9139551,617508.38767797,611446.245227519,622427.522295163
284.29483795166,4.52439075,9550879.8913197,8058733.88918206,8828847.23202113,3415152.31480012,3986644.12852991
284.972808837891,1.390842,1244788.57786927,1363781.09343846,1741346.30935463,1136078.01157156,1568117.19343022
285.976135253906,0.20874766,618663.627305039,NA,NA,NA,NA
286.916320800781,6.5406502,NA,NA,NA,NA,460648.974776594
286.943023681641,6.5990033,492438.059273723,254772.661589834,301255.604037877,603476.887779778,248312.100712268
286.9482421875,6.4758182,6234973.66721557,1670463.07569938,1562249.51628749,5741458.85716722,5993240.16055942
286.970947265625,0.20874766,690817.666039494,NA,NA,NA,NA
288.030914306641,6.59252,151774.563741023,326931.191939857,409910.207155266,390449.713967047,210350.521409754
288.290191650391,1.4362334,381695.326163412,444292.751265041,344133.552906087,476704.950428796,361955.465089198
288.945617675781,6.4758313,3037279.62680294,3201384.93667743,2852745.1252337,3671873.24095474,3201287.00428558
288.992431640625,6.57091165,1430223.53223949,183739.046283678,1375476.06578946,1227680.83005356,1247456.93928297
289.12629699707,6.67288945,615769.851519593,283041.464687517,197159.918811948,120896.142322949,213789.601631157
289.141479492188,0.23035123,NA,NA,355722.528607787,NA,NA
289.216705322266,0.305993185,NA,666591.014602825,162388.854051233,904466.261429834,NA
290.943969726562,6.47798145,NA,NA,2066970.9831014,NA,2572377.84862132
291.133819580078,0.33407763,NA,NA,277062.386725132,223063.316811894,214869.937799822
292.300018310547,3.6297095,973104.677752827,834097.892872498,864698.785247812,793653.991050843,814596.840117326
292.959716796875,0.99537423,237463.086597611,288433.760523266,337414.92595486,233644.717979392,541216.060161073
293.30322265625,3.6232269,2240343.83957879,1850268.10123427,2336561.87351081,2054775.00411712,2282557.05627197
294.315765380859,3.5929695,3563868.84680538,1364383.20232321,1310545.59304415,1243573.73753728,1230989.72103731
294.929870605469,0.21305826,805812.750818166,646244.60705123,587226.395548793,719397.719248763,740656.631943686
295.319152832031,3.9776425,NA,1177533.43324361,NA,NA,NA
296.294845581055,0.984563215,424821.362137805,NA,294568.583413289,293141.414065807,607319.988714531
296.306488037109,6.5687518,378875.037409137,162704.852802846,363714.543413697,454508.194875398,NA
296.928314208984,0.21305826,370074.75608302,445079.787999246,330211.883215627,479191.17440415,450143.968571975
296.957824707031,6.8008061,NA,NA,142214.83097491,NA,NA
297.007293701172,0.422688,906446.856386217,449208.173794272,796725.920948012,667144.849662127,738796.002088269
297.092483520508,2.78472885,1702580.05706428,NA,NA,NA,1559596.74566057
297.991363525391,0.39459225,1029799.2284478,1343138.98986429,1757060.0478365,740926.865320476,1372869.074219
298.347229003906,1.0602082,1811961.03840843,1925542.42623507,1751049.02956514,1691463.9679583,1807118.46529307
298.994873046875,7.1772205,195863.079143534,220164.713269183,116019.424590537,NA,204790.327171769
299.350463867188,1.0731698,NA,NA,NA,312822.056957696,NA
299.651641845703,5.8231863,NA,NA,NA,1583640.44243407,NA
300.202331542969,0.965119085,555485.576932186,236273.99543916,244094.319180608,272503.764088292,369574.717926652
300.277770996094,1.4794453,399994.343495222,418216.041218951,698392.645488585,361072.767534886,NA
300.278442382812,1.26982455,293449.582998637,556631.776364018,377265.450808691,544473.997615735,453315.441922052
300.290344238281,1.133677415,NA,NA,226689.579337367,512070.426041204,NA
300.779777526855,6.8135671,171444.522610796,266840.335654816,170532.168637275,215681.092512529,239878.356215378
300.946548461914,0.20874075,NA,4501373.85508794,4702823.79578259,4550703.94767683,4755195.2482517
300.964050292969,6.5406616,282722.088105652,NA,NA,NA,NA
301.093688964844,6.5838847,NA,347184.82669138,NA,200084.834754187,397271.641591802
302.056549072266,6.7221907,228253.805063117,188524.36948083,163631.842044552,174951.617007662,193621.370371049
302.912933349609,6.4196396,NA,NA,NA,2855586.31820122,NA
302.974517822266,3.2147789,1050139.6993328,1175967.1804665,449090.839177678,446160.462731637,419945.12572255
303.1416015625,2.7155823,172548.441034223,1053562.3000619,225991.949229966,199937.836901293,481634.931565515
303.977752685547,6.5946868,226803.531958339,NA,NA,115587.533504062,NA
304.008331298828,3.7917826,2932824.31378426,3629960.15915344,4739630.48663079,4939510.21471332,3160066.770843
304.300201416016,1.7128362,254006.084960651,404706.682197353,260345.680068763,383764.52862045,263418.647071123
304.970268249511,6.555782,175865.366606014,788315.237675826,862492.477213317,626962.698935116,609557.799022948
305.011695861817,6.586038,224202.061840862,220871.882068432,237922.069327897,358987.815943659,270182.032549647
305.157638549805,3.54110305,5227603.1981278,4832187.61511736,4548323.16968874,4304522.84651177,8820744.3608025
305.284255981445,3.61457745,NA,1578306.84538556,NA,NA,1383229.32013031
306.160919189453,2.78040525,853931.214349497,1979745.68049903,191438.591183708,754940.352859311,206942.369518883
307.22705078125,0.31247858,718380.481868496,246794.268097887,170421.785604863,3703643.12198032,2396212.73253923
307.299987792969,3.9516968,NA,NA,NA,NA,1493156.19915554
308.230377197266,0.305990765,NA,440887.788312316,682600.709216695,669104.382997183,426728.513589598
308.295043945312,3.6189023,686375.772541452,726654.249135724,768120.139580502,661958.647689316,696996.257586535
308.933807373047,0.20874078,NA,NA,620898.133373442,NA,NA
308.991455078125,6.5017552,4625483.43348807,4156867.07412848,4474590.1802368,4390219.88387609,4461993.37471971
309.27880859375,1.2330934,657249.878660906,669848.375595048,701763.538481271,692653.794212881,742629.081905015
310.310607910156,1.4708081,1826236.43878134,392595.325171828,1997594.19099844,2021443.75090303,1938055.03894163
311.258392333984,0.55452015,389022.524703442,407423.828839165,404487.238459115,503530.047349856,385363.058119213
312.363098144531,1.7387774,NA,NA,NA,867755.942641314,NA
313.025024414062,5.3996203,1079996.24323913,763693.790079002,912090.479451941,1179833.34428587,1297958.11058712
313.235458374023,0.6884918,341724.829931648,265172.555911725,NA,219059.663947027,369980.73104047
313.274169921875,3.5843265,2361267.16912791,1084636.7450627,2954018.52665812,1035988.05618744,414423.744898331
314.277435302734,3.5843162,NA,NA,NA,NA,1349034.77268292
314.779724121094,6.32887245,1822774.04804289,5235844.55433166,4889488.67063904,4305256.47518085,5149764.53458017
315.180450439453,3.3012274,1413904.44929827,1650162.91426199,488324.636973403,1134924.86782514,634388.592508318
316.002075195312,0.54803203,322387.813063502,326676.406745707,244406.064217824,313647.819246762,518768.261067495
316.039001464844,6.9261305,426965.301983497,276386.098970486,348601.187134221,268355.704336824,180991.371584223
316.186096191406,0.340567775,NA,434941.647360806,616548.132464472,587911.02721605,434442.308957477
316.321228027344,1.4362285,302199.80703041,217301.452461996,342073.968476836,179195.662494039,237857.434977343
316.921569824219,6.5363278,1028043.35052685,833898.811673318,982708.308719259,1143776.80228167,1119448.85932493
317.023010253906,6.6746359,345833.757930021,NA,369086.530550732,371688.942092496,173706.455660542
317.157913208008,6.54714205,704579.089946241,173338.233327431,726040.893899935,979658.929743602,818516.282468167
318.948364257812,0.22171378,638319.010334205,652085.953361702,771638.749544895,768946.685784811,844323.806234178
319.115844726562,0.215230575,NA,426106.556636377,313009.625264914,349940.23364968,339167.340391537
319.137237548828,6.5320174,274929.276975563,189631.718200815,97470.4872155213,241827.64530168,NA
319.173202514648,6.7355609,NA,NA,106038.963195341,NA,NA
319.284912109375,0.57180615,408981.840140416,387834.056616954,NA,NA,428067.694401149
319.982177734375,0.217384755,446537.546466032,NA,426825.068814913,540945.563067848,488463.651800538
320.940582275391,6.03497015,9839714.16796437,4729472.44202045,7110151.20200248,9399395.57639687,3364801.79989012
321.13134765625,0.77278248,312108.215304515,278104.3701943,281146.057800806,207441.730495941,248049.269807627
321.152877807617,6.5536298,646789.000849816,151919.921196271,613937.692989739,230960.662231371,554931.084715321
321.242492675781,3.1866852,1158954.11142496,760707.35943222,963273.394219452,333817.683654386,1499114.75298215
321.243255615234,4.0446306,1595241.11358338,1365919.99511718,463039.164607427,409459.388649893,668984.016825941
321.981124877929,3.55622895,240102.115172612,217142.888405464,145730.448224638,NA,193537.833854148
322.006500244141,6.8220039,NA,118316.873988609,NA,NA,NA
322.135284423828,0.2087452,NA,NA,NA,279731.467790951,NA
322.910308837891,6.5579387,511872.025864703,567535.668786303,594656.994370995,508499.73398908,623469.388661284
322.937530517578,5.9528502,NA,1596369.63664069,NA,1988761.12341508,NA
323.002975463867,6.57955125,NA,NA,272267.506664265,NA,356202.336990059
323.040344238281,1.4189428,589456.78106543,544893.681738031,503582.424845556,753742.468802428,517017.140372699
323.221984863281,0.34273092,NA,NA,432912.469004487,398973.901877913,264607.228937305
