"mz","rt","peaktable_1_cd50ccb78452ec991ae0713c06eaa2e2 intensity","peaktable_2_1ce76f90ceb7b6eb61e97d80bf2b2758 intensity","peaktable_3_97941a35a927156f25f13ad8bbe6abfe intensity","peaktable_4_bc2c8b6bf21ec6153e480103a3c1b008 intensity","peaktable_5_b6fd2837c88205e51932742f87fa108c intensity"
262.150024414062,2.0094226,482936.747106166,440681.515947422,474282.222238502,613133.857385132,528697.756961442
262.981735229492,1.7057041,1628676.54016279,4837994.07850161,6172965.701559,6364961.87262113,5660490.58594069
263.170623779297,1.7166469,953128.87729882,805344.981140743,689841.181368651,1061011.9533091,1113748.51896586
263.985229492188,1.9962914,354255.439943299,687710.84839102,654196.884047087,708843.289066756,517409.845547088
267.968292236328,2.0589967,1100094.77182214,1216838.66020678,846794.572293302,1074440.94693565,935137.652174534
268.714553833008,2.00332835,NA,554488.935528727,361036.019979731,NA,NA
268.998672485352,1.82187595,10548047.1252761,9530029.36084558,11407150.5606644,11462910.0760528,11767372.1482501
269.279754638672,1.9941028,497543.613477093,NA,NA,NA,NA
269.966461181641,2.0589967,994544.035251748,1105545.31471948,718992.952129985,1014781.43721858,816887.900371874
270.002044677734,1.8334879,1308041.89763787,1169029.89571883,2091004.12371562,1809131.8560197,2516613.94894144
271.003051757812,1.8093829,1375046.47146572,1928172.12501759,1565752.16767229,1440990.11060733,1150747.39789544
271.003295898438,1.50695135,NA,810116.259750749,669624.212740504,NA,NA
271.050765991211,1.89266005,1104528.70552554,2395254.43583456,1641254.12193624,1215657.37334883,2358867.62349404
271.973114013672,1.8509659,1811180.50014381,2135814.91684172,3270445.20763911,1239468.88227493,3140708.51224664
271.973258972168,1.98153925,NA,2915732.62641985,NA,NA,3116556.62803612
273.167465209961,1.62093295,1167106.17177773,1151168.48083687,1499971.54163541,1262424.89951035,1193273.01170601
277.168823242188,1.9962914,273076.301728172,755386.33848244,686200.178894153,625526.110365068,933237.490511039
279.093032836914,0.67658024,917567.801978969,612910.041873258,745847.885772857,NA,667233.300537707
279.093681335449,1.27190395,749705.469506897,619077.775166119,621817.680410461,974115.007858875,764409.8624089
279.148101806641,1.8443997,3540282.65215181,1799002.1417731,4106331.2972102,NA,NA
279.148239135742,1.9934797,4355677.36834959,4067422.9419164,4555841.95740731,783008.800080821,4682775.60074916
279.184562683105,1.86564695,3467971.65883274,619766.010550311,3817387.3304483,970486.694409517,3528673.63538286
280.954498291016,1.860421,539872.906058914,300891.158568514,210247.886599545,572125.268028983,460170.593313068
281.952270507812,1.78979815,367906.107591119,607601.848937228,710552.795145796,495484.450444968,418614.048635272
282.062805175781,1.6221511,1291903.78269,553664.652915319,344051.592706245,1281854.96921152,446553.541363992
282.254302978516,1.9415773,730812.159331076,NA,685685.720295088,NA,761670.759876706
283.263465881348,1.34145195,1544517.07188047,1537378.55701575,682668.053506168,2249217.3030953,669983.18717161
284.972625732422,1.4489722,1340070.40588205,725910.419503916,2189228.06152331,1160447.38299768,654763.555408309
286.948425292969,1.8533472,938550.737650829,NA,1965212.67549084,1798608.97210852,2002759.36965173
288.030731201172,2.0046807,480911.756819768,658273.677008744,578833.359658872,514717.768959611,1161732.71275922
288.945114135742,1.7886072,647207.202530132,1076152.96292231,720229.402578654,957713.130128953,831712.979297103
288.992462158203,1.4775431,662153.901334027,583251.024242274,1625447.49054807,840493.379051932,623212.503298383
290.081726074219,1.8015097,1292050.48734096,1704344.86380543,1065011.14522172,475827.776789179,530569.853217068
292.959846496582,1.6144759,1891784.40919339,2702952.6590623,877066.6658951,1888211.38202262,660829.94676466
294.315765380859,1.2840507,1990606.9713849,1753758.93836391,1783769.17852467,1826915.11401879,1788222.99045202
295.188209533692,1.937687,NA,905701.990572326,NA,1104168.8103796,NA
297.007537841797,1.17835304,777780.398281638,639864.811324767,207918.588970171,288972.033127499,409528.403361636
297.99144744873,1.236056865,681718.553525512,644980.241726741,674853.240302649,518274.086393119,679093.807914279
299.009368896484,2.0050456,535998.845166139,481745.430237464,546536.491248585,NA,NA
301.093826293945,1.7984712,1539722.73479864,695773.867372264,1168119.65160417,1279235.47150514,1403498.5673624
301.180389404297,2.0174917,NA,345692.555667332,310323.729077321,NA,448340.070530694
302.974281311035,1.52106325,1959344.74936426,1307153.86548965,1108290.25242016,1899076.6310311,2045287.0313446
304.008041381835,0.86618159,NA,7141508.325828,NA,5090135.32457226,NA
304.008346557617,1.6184094,7143713.31673875,1856546.24576257,5491811.56654537,5339983.00930575,5009097.99735956
304.970016479492,1.4096635,392360.577652381,543247.335512442,607455.445410069,660755.983173209,NA
305.011810302734,1.9954104,566823.672873422,562256.065180664,466872.820462431,613881.867918795,918588.072092041
305.157318115234,1.6332727,1186576.52458654,1232023.23329062,743798.026986887,1150553.10174291,1360914.85726505
306.279449462891,1.2797234,NA,NA,NA,544761.82632054,NA
308.9912109375,1.7409684,695415.021249681,692443.684992045,715987.560608813,784142.897546811,564288.558432303
309.279029846192,1.3289136,1058726.29264504,623066.371572421,1425342.40650843,567048.220937861,369460.918955872
310.025207519531,2.002857,803984.050010742,808953.394106177,930273.31702413,873126.70392853,853624.095160311
311.294708251953,1.34207485,938383.877698828,1453598.39500898,1076766.32094383,700906.512610259,1129083.17669516
312.362457275391,0.59168114,NA,NA,NA,NA,365998.889983534
313.024917602539,1.81849175,6776319.52108932,3323454.79496869,3503125.11393712,5198363.68147145,2398498.54208381
314.028411865234,1.9978568,NA,559431.423508638,571454.100926294,519191.116936617,659549.891236594
320.211212158204,2.00442255,450442.853157397,522614.292515085,496743.918170014,NA,331136.733872929
320.940452575683,1.86202045,2450652.06801132,1756578.51742032,2957579.59345444,1873956.13171491,1892749.43872087
322.937561035156,1.7930654,779268.469726266,1520882.82374485,714004.930426783,1129357.8868863,1089546.03609876
323.0029296875,2.0024921,797840.215246947,804070.830395465,688672.25400811,690481.564854562,728361.115538061
323.039459228516,1.4708582,1032686.40046139,1333121.77101553,487045.915797058,684364.462624781,587116.017535508
326.957397460938,1.84230795,1283189.04100913,2837413.03458211,1057119.9949402,983122.234031299,1050351.30344902
327.974945068359,1.7765547,NA,1358108.03537962,273586.815245416,488464.352937748,782929.684605791
328.954620361328,1.9897258,817509.203448004,NA,NA,NA,NA
329.007415771484,1.8095761,920760.082351641,5124260.88830657,1473021.59988656,882577.051403114,2753055.36171956
330.009216308594,2.0072341,775441.367403093,NA,714878.697632481,728602.437923063,NA
331.004547119141,2.0050456,581465.00818596,NA,NA,NA,NA
331.209442138672,1.6664186,788503.040811212,516661.243361835,266060.251450852,519435.521677178,468647.584961109
332.952270507812,2.0108482,NA,NA,NA,511677.304943578,NA
333.973083496094,1.8093829,778680.338684535,1090107.83285072,394265.698657102,460952.896837032,725208.263897107
337.044158935547,0.83465581,547176.160683325,534671.718052819,552954.182334526,579812.282954941,608894.256996109
337.216583251953,0.50864378,NA,460575.74013022,NA,NA,NA
337.273910522461,1.1699487,3217793.28678309,3186649.93780566,1133243.02153589,1109761.01607316,1005298.03476239
338.277313232422,1.2818078,840455.184704907,846358.927907816,872121.554201957,NA,622125.118039594
338.967895507812,2.0481313,NA,NA,377266.539646964,NA,NA
339.018104553223,0.226055665,2330744.78083519,2322149.75178415,2305288.44750441,2676148.63285692,2340945.16468583
339.018310546875,2.1367632,2483557.932432,2473568.63105183,2679427.29051305,2800040.61384468,1406486.71869079
339.289848327636,1.3759547,NA,NA,586164.866371149,477489.35332336,NA
340.321487426758,1.4982647,1066616.87300864,632923.392484225,1065008.80830298,904379.665136462,1018894.95285663
341.26668548584,1.16542265,914872.067146335,773110.535315778,422574.417856203,625668.705972351,909883.924533241
341.305358886719,1.20719125,1081752.1712602,1158681.20595862,NA,1040806.85482116,1120216.0425038
342.071746826172,2.0913533,1363673.55250369,938533.174322439,1323018.91062964,1465991.98650704,1374650.09287477
342.337066650391,1.8424044,2574119.17922503,3388297.88208179,3568588.24472297,4323426.69631763,2383533.12785606
343.340560913086,1.4599154,528210.876794978,862408.253692104,NA,777867.343992048,611312.959455047
344.98494720459,1.5597545,3480994.30034057,1601972.47663915,19965766.5872955,3732783.36340565,22573554.6259725
345.988128662109,0.68158252,982215.010619673,785678.126787009,NA,NA,NA
345.988433837891,1.7897015,1744067.4187079,1425453.84586087,1811492.50264359,3050275.84077056,2206954.11611424
346.989692687988,2.0115983,560272.028665896,586094.921429011,NA,590159.314688697,663725.482306781
348.977874755859,2.0035263,328847.406143158,757595.519115955,639525.737359027,723730.338929272,592935.90003396
348.991851806641,1.98609895,534958.770663561,NA,NA,NA,774916.521314106
349.183029174805,1.53934185,658566.360831095,NA,NA,NA,462863.644087123
349.183624267578,1.80619665,1190389.16381339,1335497.57027979,1469073.20768002,1196711.74452638,1174970.83574274
351.001953125,1.7973614,1588042.0953262,1988937.52996163,12036242.2732005,13315004.4798847,2480822.4218828
352.005340576172,1.81385655,2035178.28905596,839898.597698623,713649.064575797,1162203.74975002,2314081.79916361
353.006866455078,1.9912265,NA,NA,NA,NA,668498.718102888
353.976448059082,1.9893008,773425.211982048,NA,NA,817686.899627908,NA
354.337249755859,1.4688046,515259.266493166,427958.278323259,618912.24593245,469872.04933041,451779.170582556
355.282257080078,1.5964934,1089183.20453236,1647417.44050912,1540515.47299964,1694492.12226427,2187632.56026989
356.389190673828,0.36547119,NA,5281269.07504617,NA,NA,NA
357.147735595703,1.745098,703662.304822638,1234824.78273849,1046633.66735386,521408.592821368,984599.406677486
358.049163818359,0.83440035,859075.036578384,815823.376440431,429509.380415697,242192.357807203,484087.649315226
360.36287689209,0.556334675,700665.499548681,642779.527555116,593180.232920686,614440.200394793,684675.05330849
360.958953857422,1.7381445,473350.93982079,657603.16072029,1434751.37139121,325381.264150532,324182.782763156
361.102691650391,2.0402379,417769.916091799,395857.744160578,487298.306916352,479244.929556513,520992.875144438
361.273880004883,1.1962448,908568.635715937,752114.700728578,NA,1151423.066769,NA
362.957611083984,1.5191418,745368.898797469,2315254.7865263,1019232.68888363,1205779.29507136,674190.419215822
363.289855957031,1.3080704,NA,502384.134354747,NA,NA,NA
363.955513000489,1.27959615,822617.262157612,658855.129107313,1149688.78437797,863628.717062202,1110901.79448186
364.261352539062,1.1677322,2418978.47956083,1744071.98509472,2186351.81400431,2152710.31318088,2081036.25858403
364.953430175781,1.9956036,562946.139195915,NA,461816.072551709,NA,541689.521819016
364.978942871094,2.0464321,302877.394917021,NA,320436.421510778,336833.953099733,311169.278851644
366.337158203125,1.4576907,1740031.0949107,1291603.62931762,1174930.57285022,895289.572499488,1403570.92397562
366.950286865234,1.9888753,697708.06422375,NA,NA,579250.380316197,523070.298395953
366.976043701172,1.7343724,710925.113412915,827442.290855248,752217.001290726,1056772.68334992,919383.725208656
368.352844238281,1.7722087,4249031.52422982,2774564.56806863,4358633.1453947,2066741.03966668,3600739.35700471
368.951126098633,1.8076504,3472173.7030155,4023288.07623838,584858.450843978,436502.083729979,489795.556837872
369.297943115234,1.2750777,897741.296969541,697411.465791097,977250.632484764,900699.073374868,722336.883889358
369.298248291016,1.3435361,948735.061262001,998170.711246897,1006049.51030451,NA,NA
369.356201171875,1.5986819,649391.085952873,1380073.5122389,1426727.3142908,716691.583991062,390998.57540599
370.368530273438,1.8018351,5392189.55585316,3869719.42254891,4154513.0676825,7144238.5885695,4471359.32061845
370.948516845703,1.82700335,1776680.64601594,792093.34330657,618064.369073624,760591.327070295,682080.707324602
370.995651245117,2.012019,NA,NA,666284.17478719,NA,580725.134267322
371.163116455078,1.8073875,1556036.16086372,522918.596564155,892902.907942314,296783.359166799,1090351.24279467
371.163330078125,1.596524,995291.572625669,NA,777521.576013425,1377261.0539122,912992.211550807
371.371887207031,1.5790829,911817.690940828,1026555.62312699,1667979.85325147,1447536.89756074,767367.662036021
372.947189331055,1.78357635,856471.661719755,1327505.57313783,565583.624062524,561446.613036238,691546.568246107
374.963104248047,1.7964448,1273500.29828644,897267.228639842,760266.090951411,3989301.69620132,2183804.10345155
374.963272094727,1.89047175,1378267.55651836,4421881.78735439,4006437.70743506,2432178.5779333,805881.882835833
375.251098632812,1.4103206,476792.286870785,596877.23552088,911853.254318938,527963.342596358,540073.913107641
377.080261230469,2.0639353,1318607.9710785,1243811.61053067,1407575.74833145,1343232.89742037,1416845.55861075
379.99479675293,2.0634518,849416.763305724,851967.190779347,589153.154829619,1631154.80745368,1651222.20537891
383.048156738281,2.0285521,410727.65027503,378921.971483766,397838.4009244,410810.281895439,420449.260009315
383.313491821289,1.17764775,627070.600957671,586305.883884422,656569.430935803,282718.290318958,540514.253884737
384.916015625,1.8445932,1313881.61707875,NA,974970.529455608,1123971.39974292,624089.955732612
384.977615356445,1.545825,660547.113264799,525516.759765116,438499.915663804,995358.638492368,804016.64018604
385.17854309082,1.598128,454988.302951383,450318.140916583,NA,NA,NA
385.292938232422,1.63575895,1089058.17877179,1201708.15757946,1780592.10345778,1292815.04490694,946774.989124312
385.293243408203,0.98874213,NA,1129879.99288153,574403.460526449,560687.339584097,NA
386.011627197266,1.7212715,952553.128809842,767646.759136429,670275.254169726,840258.236539079,784861.040996112
386.912902832031,1.9780952,NA,NA,NA,NA,927729.039966465
388.394073486328,0.61137813,3403923.1147253,3224069.45294136,3559670.87070976,3455902.8196018,3386477.52569377
389.397613525391,0.60815313,903912.239660041,842174.992431119,904041.624592004,932199.612195113,909211.754357194
390.276977539062,1.1852752,1004121.19665534,845918.597800404,NA,989211.68944753,NA
390.337226867676,1.4856532,1242897.69809606,1108171.02797105,451452.961398446,883427.996238703,413562.551166895
390.994445800781,1.79298435,1318955.34458447,5395524.16731637,600842.476959706,2970341.94790791,712033.200919776
392.028717041016,1.9941028,531324.590465113,NA,NA,NA,NA
392.292755126953,1.2841594,6407373.5342087,5858991.29989397,5861134.04769216,6049004.41344989,6234972.12725288
392.352935791016,1.5167819,491085.971562821,NA,526723.41090232,NA,NA
393.210113525391,1.7343724,547119.209418515,905483.264102646,836038.016309812,880734.880333897,987533.611619111
393.297332763672,0.69156751,1518419.0536074,671953.640087897,1344467.99451387,1727238.42615711,1561310.07849872
395.0283203125,1.7638458,3494311.40536679,989224.074103638,2580531.50074772,1123656.39642532,1216905.143121
397.329010009766,0.66840834,921275.259700863,826433.390098463,971658.916737861,910515.720035011,1026553.52344254
398.174224853516,1.619734,1365971.56969327,847432.740856051,1420615.47360741,1333557.52649261,1258954.93439393
399.025909423828,2.0611853,449917.277021202,1663680.94377042,330165.750392438,352157.015223214,558536.672516368
399.178497314453,1.6215156,450441.830278146,NA,NA,670332.657938667,410356.143011647
399.308074951172,0.64639528,NA,NA,NA,NA,1363188.30863298
399.308654785156,1.7020711,3641279.63651569,2088881.68830093,2220694.3409743,2773233.12765202,1802057.89843406
400.312469482422,1.52889665,623715.774795539,599821.232458966,285029.199580854,320897.716449164,455469.556981617
400.379028320312,0.60596411,477259.681875263,466750.529613124,520676.053928471,536319.99161506,627168.515461338
402.943832397461,1.8270034,1130855.32789355,2413837.20992503,981854.18959416,1121089.57811864,1277913.31255973
404.913543701172,2.0267297,NA,515018.606689339,NA,NA,NA
405.261749267578,1.3529201,1760882.59121902,1600023.70035347,750429.286296468,880398.843359768,1431080.22797716
408.960647583008,1.9258927,6403786.38191757,4589622.03807855,6510457.7006237,6449987.75019074,5820709.69930182
410.957626342773,1.8501291,756579.912321916,2101872.11072592,2051038.80100171,1736173.46303372,843004.335223125
411.010917663574,1.7945036,975518.018842476,2442049.62115477,913820.930280119,582371.986429497,706479.013050845
412.012298583984,1.9932218,NA,NA,545099.944039472,NA,NA
412.189819335938,1.49651135,969501.662762345,1058002.22598844,1850679.45297886,873490.242818092,1408430.62909637
413.192855834961,1.56696025,356487.989289212,NA,235641.054368178,NA,NA
413.266815185547,1.6118132,1259696.59807392,555610.299452248,911113.615137049,1010092.84693001,1055593.3255201
413.324325561524,1.6424733,1192212.30182639,1140019.07678053,1310968.97864681,1893287.02897199,1121912.94518874
414.270004272461,0.674516485,561261.622956421,547762.585757816,519225.851877144,562788.712305939,NA
414.955917358398,2.0041646,625757.565856781,712401.153191625,624195.284642626,NA,NA
415.043121337891,0.5031018,776133.189969162,772513.828641142,778002.48383509,924080.061254597,833665.299584048
420.971313476562,0.94804146,452302.856965657,904875.288428358,534686.244687023,652515.059533756,1302710.72093139
424.334259033203,0.78650731,NA,NA,NA,2034708.46195911,NA
425.03662109375,2.0380494,382167.369488508,251312.019815953,NA,NA,274033.90920445
425.215042114258,1.6018187,284992.530524386,473479.420187976,1271729.63099218,387462.261727451,341743.824000844
425.360916137696,0.74496543,766303.756273195,657918.035489576,337927.594479348,759045.037954565,628072.03997621
426.205139160156,1.6191513,1311319.89624031,607688.726133748,709565.676876068,739867.049719717,1113778.79999541
426.988037109375,1.2027837,NA,5355135.56348924,1915164.09009927,NA,NA
426.988265991211,1.81648565,9647569.61529039,15634995.4532475,6184908.5992095,6916108.90052813,10414031.8974941
427.339752197266,0.63343413,849195.815825261,800640.210991492,855433.585314305,852403.676073863,876627.393591734
427.991844177247,1.7690845,795509.784513638,368653.254808524,521373.770412933,440978.330766227,1552114.28919051
429.3193359375,1.4901198,2276195.90073938,1560860.48225713,1452035.88473812,1746505.69933212,2048013.93589129
430.323013305664,1.51183025,271128.556148696,NA,322713.257846835,NA,NA
433.005233764648,1.794063,4364834.67278903,5070824.16550905,2400053.02618822,4729459.28160247,5101458.13643183
434.008636474609,1.83247475,4067444.99968828,2323145.57896632,2111804.20404282,4602850.61632621,4311741.2088268
435.009719848633,1.9975989,1867101.27133664,1722852.49240448,1818814.53613362,1792925.64844636,1777698.61714167
435.979827880859,1.8466192,733217.914930498,1710484.22849161,690845.945491248,1365399.90097879,1558029.48898161
437.235801696778,1.5140907,415362.986943843,NA,NA,292115.104271202,NA
438.37956237793,0.56657008,1366413.62531649,490350.534761372,544072.198806024,1311622.61592013,479358.245302362
439.150482177734,1.7809628,870123.811977071,427507.634039789,NA,800990.534138459,NA
439.405487060547,0.89671599,728750.917704239,705229.733173366,725431.111367209,673705.464723119,720375.162735356
441.013793945312,2.0482491,NA,NA,NA,NA,327906.977953078
441.298278808594,0.77131358,508880.604865637,1629745.50059037,1524131.59270294,1528582.66970792,1307997.45562059
441.354248046875,0.63999984,507608.882061389,NA,NA,NA,NA
443.334884643555,1.61685605,1973969.78373085,2633920.37283869,2895373.68789831,1708892.66038327,3099087.07670449
444.332809448242,2.2338804,1591381.58682407,474768.669980696,1487846.37722128,1567756.58955785,1462858.79213804
444.337310791016,1.5156332,1186517.58112493,1083752.02830785,631598.345163822,409235.31724816,602326.008379405
444.380020141601,0.6121642,710175.78999993,1402076.15327532,1524766.05041883,1543332.54109303,1534545.84397817
444.961029052734,1.993738,681178.205883863,839175.428428193,748674.252413179,751405.122166498,732423.27448355
445.959182739258,1.991549,830721.518428174,267166.84021631,292718.396041502,825026.336166612,423250.076753085
446.982147216797,2.0351178,759271.994146476,750013.089708845,795815.802632248,790454.837989081,811554.535032963
447.345428466797,0.85931818,1344206.14021698,1166421.41980939,1349407.87425455,1363909.78357844,1286937.63009246
