"mz","rt","peaktable_1_1ca86a2dc32aa7b970404b23b4005027 intensity","peaktable_2_53a6936725880b6aeff49c15941591eb intensity"
220.093811035156,17.199745,328134.500757171,691927.474129236
220.100105285644,0.80262868,NA,117687.126333498
220.909545898438,24.546998,717045.85062989,NA
220.970932006836,16.589964,543792.223403687,670331.635468138
221.103435516357,0.7583698,342502.080942382,286349.780189555
221.123497009278,16.2208415,107911.759656801,146858.11940495
221.153625488281,3.8772754,NA,180622.695488572
221.176170349121,0.474474905,86743.039978601,72366.0867665092
222.004959106445,19.466339,2203699.83905805,3147739.82434664
222.054962158203,22.074963,1519957.43306059,4860623.65266424
222.091339111328,20.5036495,417911.445724818,533739.825381512
222.90771484375,18.309937,784639.9232391,308789.763373473
222.966518402099,26.5881615,62647.3891392242,132798.671021372
223.008239746094,24.110464,201744.501614536,160977.158609063
223.010772705078,9.4469095,220867.095932473,260709.204780903
223.058319091797,13.4419245,517164.739017609,882275.867625952
223.094772338867,6.6855313,81440.1013863268,41738.6984923
223.108978271484,0.20148315,290139.635815985,NA
223.118759155273,0.284867029,626122.023303703,364242.68688895
223.127983093261,0.39122889,485753.899000922,200145.299983619
223.141891479492,0.85177055,706483.709428418,194330.812903277
223.147506713867,0.757589055,956604.987569906,428290.183749729
223.158531188965,0.35582203,NA,272909.104923885
223.16333770752,1.18697503,475628.934471328,209900.420056184
223.170379638672,2.7238429,443243.040980129,459464.902138045
223.181995391846,6.1361621,490921.201305469,NA
223.191665649414,3.1870776,937292.33253466,55775.5009196656
223.216800689697,9.92208845,265530.238416076,330349.249035957
223.223968505859,1.0391004,NA,536499.692069879
223.235290527344,1.2497603,NA,345103.10755697
223.24919128418,1.4626571,NA,642683.800075197
223.268600463867,1.8368688,NA,627298.965594868
223.274589538574,2.0460427,NA,733315.491631852
223.293495178223,2.7582049,NA,481407.233851849
223.297752380371,3.1445266,NA,854857.244418725
223.31420135498,10.826222,NA,563801.101339266
223.32096862793,10.151092,NA,476818.082413478
223.335990905762,14.447687,NA,635433.05618789
223.356029510498,10.86316435,NA,1026113.6188209
223.360778808594,26.0488065,NA,1997049.28021747
223.387020111084,26.7853175,NA,644793.548166067
223.390357971191,27.7152765,NA,299593.08909188
223.402221679688,27.089162,NA,245391.619869619
223.884140014648,24.588568,NA,207035.33018356
224.026000976562,23.403796,211524.515548598,366110.209132963
224.051086425781,3.8886561,52599.1093184768,NA
224.087966918945,5.5097776,168193.897163407,185927.025158215
224.128280639648,25.493544,173995.475680779,NA
224.175758361816,0.770382045,204589.401978357,145119.978666006
224.195114135742,0.65794293,66816.0162419887,203279.157499089
225.003005981445,24.185449,NA,277211.730752338
225.010345458984,10.059665,267719.822243016,244054.25900446
225.02953338623,0.79118053,134994.405340935,104264.740584273
225.058433532715,16.6027405,109535.143761914,105965.617515974
225.072547912598,0.15826181,76832.1636151603,NA
225.080154418945,1.6117991,67902.2204087516,NA
225.091079711914,4.8284523,NA,269189.305497353
225.108360290527,21.223283,1473414.87377245,802642.606048559
225.159637451172,0.35582203,NA,97947.6408756604
225.19622039795,0.75446729,67131.3719790586,60243.4994018684
225.232551574707,24.054276,565733.243835222,151246.736531244
225.915328979492,28.630473,57310.7392087574,67318.3658902703
225.997802734375,15.15606665,53163.3500685178,44849.0727074305
226.022857666016,24.199697,179304.100416806,215165.805091181
226.047836303711,5.2349986,150831.60055111,140368.242110543
226.109127044678,14.4336745,146442.968349294,210789.552963395
226.110450744629,0.2576708,92402.0054637422,NA
226.191360473633,0.98467593,218704.524001724,77673.7653204492
226.21662902832,24.497343,NA,210329.188041805
226.227951049805,0.77680163,36182.9631104311,NA
226.987861633301,15.8184205,398740.152740137,151802.954394439
227.105926513672,13.249181,190974.220648862,211156.915735547
227.991577148438,25.441678,309307.184962267,NA
228.021789550781,13.695563,88898.3740415634,NA
228.055702209473,0.51747405,60525.7786130626,146988.881211335
228.232177734375,7.3052966,104778.007994901,76925.5408291371
228.971496582031,5.2464208,158686.776345456,165628.184216754
228.97981262207,6.765031,82052.2988099342,NA
229.048278808594,0.988998925,76347.0606249372,92481.3252340471
229.081176757812,0.91260962,NA,901624.081469506
229.141006469727,15.483102,1370693.00477065,322562.054892891
229.15478515625,0.751886645,409250.051085464,450063.763880886
230.045047760009,0.754047735,50165.9135523907,41973.6512395048
230.053970336914,0.35582203,NA,128474.306787146
230.144348144531,28.925086,98341.416709041,132556.768008158
230.14453125,15.60568535,69416.3060130746,89467.4232890629
231.066528320312,7.96794265,142410.11544098,139221.973068445
231.120346069336,0.822833665,748164.058807877,866854.439175552
233.045791625977,9.7775518,120379.974546564,57603.7239948282
233.052104949951,14.7866015,155751.915965388,NA
233.064819335938,6.5791796,47452.1598705076,131842.400944414
233.078636169434,0.7940896,297864.978437658,NA
233.093399047852,13.392206,393439.137238349,1582447.54040628
233.189964294434,2.3814818,313776.603061734,544427.436703712
233.914794921875,5.5505135,156543.690354095,184146.942142154
234.185302734375,9.1076225,58715.5477530223,96093.8465405831
234.939102172852,8.6819896,244479.723124681,237384.699054186
235.025207519531,25.458967,349644.470343317,NA
235.121612548828,12.246257,120804.0255943,629373.680113596
235.912948608398,8.6840544,175131.498858106,139670.479361954
236.072505950928,24.0989395,528155.602975776,416477.127858721
236.167633056641,14.2751565,360389.993810409,483037.114407427
237.100860595703,18.068317,431107.115225196,461552.172163589
237.137229919434,15.122367,138975.585618002,1368532.2710897
237.170978546142,1.010609575,91562.9507231838,79357.2023268169
237.20735168457,0.35582203,NA,165681.388850038
237.232460021973,24.367302,NA,101038.342331689
237.911338806153,0.624051115,67853.2406190315,56914.121889037
238.191390991211,0.8365438,97628.9457104314,166776.900357284
238.227630615234,0.36619915,83529.8451834547,NA
238.936996459961,18.729055,254784.82802295,801091.585425068
238.943161010742,14.75224294,114968.621087161,181674.344212033
239.070236206055,8.2094289,238648.971572118,215644.054723597
239.106620788574,13.769257,234218.148596724,1094211.69904974
239.148979187012,0.766274255,78587.2134432945,81916.0297877163
239.186660766602,0.35582203,NA,140244.326217048
239.248168945312,24.596321,NA,183845.371530922
240.015441894531,25.762318,75355.606480665,118382.719798944
240.027648925781,5.3038067,245440.620678984,212238.610260044
240.065490722656,8.08070635,244203.901115295,135870.126160512
240.170631408692,0.547460255,NA,93635.3029870315
240.232192993164,9.4502655,113828.203417649,160539.853802342
240.268539428711,3.0912899,271159.081889848,149353.487054027
240.918140411377,17.2681485,164528.671177264,256602.908818355
240.987129211426,8.1314258,124188.368295585,141771.638990152
241.025505065918,4.75056095,124142.462221369,133290.895255308
241.035820007324,21.651174,535249.839840015,304494.482380211
241.049560546875,12.633087,177734.282690755,190100.891599232
241.085876464844,21.612275,13670621.9254641,2350509.08324674
241.122261047364,22.5566595,215104.135573997,257869.84779306
241.177299499512,25.009198,517415.932882968,765645.994907928
241.202331542969,0.81137812,179847.519057492,NA
241.235477447509,1.24569575,474131.111948473,457311.253968545
242.023162841797,4.6882496,75270.0603636563,143943.9817776
242.039161682129,14.481213,138750.736264923,222869.450888672
242.071266174316,0.25493199,79980.4703542764,75444.5951967125
242.089202880859,20.108175,877624.311969403,1090720.77023063
242.125671386719,14.6152245,268449.593088327,571541.223345236
242.284126281739,3.1802109,125306.112241412,180736.096890393
243.081924438477,16.266257,NA,134985.063490784
243.085235595703,0.80609808,97202.3466431169,680854.811076202
243.11897277832,16.222583,302527.656626636,347026.519288123
243.119689941406,0.86365638,525905.732646069,NA
244.060623168945,15.8414795,216368.338921869,279435.696394922
244.069427490234,0.11936283,66257.5117661253,61457.4916583047
244.139308929444,21.9484675,3287996.2691549,189947.960616073
244.139419555664,25.1133925,247476.279524759,134437.302280556
244.932327270508,25.537157,160046.292567828,NA
244.953964233398,10.7508005,300518.954243215,96798.3463637641
245.07878112793,9.1164142,86401.0223839916,131004.295393385
245.099578857422,0.79220689,249113.550216707,148327.415308331
245.115425109864,15.6714315,73863.4809818738,198691.784573432
245.135917663574,0.85933403,666891.641039971,NA
245.140083312988,13.171383,148695.449329828,501206.13003352
245.151679992675,2.748006925,446359.964621812,115395.416003002
245.957427978516,25.05917,579421.302419804,NA
246.022102355957,0.754047735,95471.3176787133,92146.5426986792
246.077499389648,0.46846311,NA,90742.9288890967
246.08203125,0.64303638,NA,95522.6875268178
246.13688659668,14.448802,387534.591508363,576023.885432329
246.923606872558,25.454249,4292974.23027297,5068247.47603801
246.95100402832,18.301526,414571.005867772,425626.305013595
246.981559753418,25.615365,296870.854020235,NA
247.003883361816,21.2492165,5091644.49889202,5340647.02293005
247.050659179688,24.884124,657416.563980273,NA
247.115333557129,0.795502605,208543.726732061,178307.955716172
247.128112792969,0.91260962,NA,528837.872312653
247.928493499756,24.538354,578598.85201053,NA
248.004379272461,15.816301,1323009.19809447,NA
248.004592895508,16.5618685,919223.438514794,372434.849342535
249.001396179199,14.085744,1023559.85674594,608655.071571023
249.007888793945,8.2159176,NA,62821.2162186502
249.109603881836,0.910836525,278912.790769415,322224.372690644
249.207450866699,0.35582203,NA,116534.654964639
250.118621826172,1.3291329,NA,2521922.80033786
250.177749633789,5.0318589,139206.730792239,91455.7278251366
250.941299438477,12.3560205,219280.351023667,119417.97300035
250.949066162109,25.476255,471427.262820793,NA
251.046760559082,3.6142009,331077.471729468,647997.264015293
251.121887207031,1.2968989,NA,232153.10747468
251.125297546387,0.85177055,NA,293919.691262343
251.136489868164,0.77680163,237930.256660542,NA
251.9697265625,25.0764585,329091.485062736,NA
251.980895996094,4.8284523,NA,57647.0287440069
252.019577026367,25.233739,NA,182222.181264603
252.026744842529,0.79247395,172321.964218137,185792.612471125
252.124275207519,21.729258,606321.638308811,192268.044292269
252.124404907227,23.894357,611708.039555653,392510.356985393
252.138214111328,1.0876079,NA,231959.600780555
252.206954956055,0.67739241,61409.2471903711,172087.740690714
252.268615722656,11.036061,263339.202985902,NA
252.939346313477,9.8899271,198949.740465057,NA
252.939468383789,11.201183,401719.563527504,370570.149630358
253.060836791992,0.75878929,384157.07574118,578916.787428638
253.141304016113,12.7944284,NA,223571.93936156
254.823715209961,24.810648,791613.218353102,NA
254.937713623047,7.1510766,172018.923511521,93188.6383965942
254.98274230957,6.87092305,80718.765247916,47327.8903127941
254.996383666992,26.619803,128268.271978472,97588.3962823878
255.033279418945,25.74503,114879.343140234,NA
255.134094238281,0.72847801,NA,35232.7287057879
255.181453704834,0.787884905,200692.819531679,144171.577219874
255.193069458008,24.89709,622420.912694479,NA
255.980445861816,4.0695591,77866.6467699665,134350.768615301
256.820762634277,24.2811875,423541.792308032,NA
256.964233398438,6.3220986,1051390.21461464,489683.494143847
256.964538574219,17.998977,674101.883774294,684825.394641066
257.079330444336,1.430029475,114963.498654241,101147.452653574
257.079437255859,0.049743965,293674.830349807,NA
257.117218017578,7.6279182,NA,314849.895147281
257.13581085205,0.9162268,545765.184757602,761823.280123089
257.955230712891,4.8390845,NA,174304.226990848
257.970977783204,27.0981895,111635.016646166,87536.0906640216
258.043807983399,0.782536215,322812.156868765,397252.546540212
258.066543579102,0.35582203,NA,69972.3046833715
258.101264953614,16.8698275,83617.9477109304,106195.418255564
258.110061645508,4.1358831,667945.218129663,108924.036736102
258.137603759766,21.369247,2311105.09394728,1054342.85292283
258.817840576172,24.657488,NA,293075.298280552
259.066345214844,24.078963,725910.457020946,92540.9708864412
259.074859619141,0.56501721,133932.207566153,224742.534708274
259.096527099609,13.521898,440338.894858167,138602.343806412
259.115234375,0.81089915,358722.901173552,428074.721510095
259.140899658203,17.527866,250433.066227734,323524.925840631
259.151550292969,0.864196615,394474.053192248,496366.437313707
260.001220703125,25.69104,284314.535613628,171725.132242847
260.080451965332,12.4731685,186837.091226033,154962.647839639
260.116851806641,2.1520643,321092.554799414,616233.745691234
260.153274536133,21.71479,172014.812839336,7151434.60918518
260.926933288574,12.550405365,NA,66285.0466628632
260.963439941406,0.82132253,255669.233377795,194631.03149463
261.09619140625,0.12800703,91829.0463913795,NA
261.10961151123,1.05024865,311436.450487828,304679.404558181
261.120208740234,13.4944815,584313.015691403,150332.716820391
261.130859375,13.933017,96854.4600434853,408154.6781515
261.156585693359,13.786545,785757.761190491,133370.195222557
261.184844970703,4.7451452,NA,2823565.59381729
261.221206665039,1.1149568,NA,108132.02433573
261.997573852539,2.6783736,56722.4968424613,73514.9079467113
262.134269714355,0.797932865,855772.239065188,986521.719650623
262.149841308594,14.036694,620025.10626258,1065047.93011122
262.177856445312,1.145009,122293.518005309,NA
262.188301086426,4.7791984,NA,530005.035932655
262.900207519531,17.743746,207956.708098587,213710.832948512
262.981384277344,22.684162,32156902.546562,31553843.0781407
263.017852783203,17.487163,828802.743239784,173603.089801725
263.031463623047,5.85522365,177798.213891575,246148.422184442
263.091476440429,24.2916605,NA,268915.648050695
263.111419677734,0.7946352,234821.91296175,231170.867663728
263.17024230957,12.065256,247221.212733445,140128.016438179
263.18424987793,0.7946352,297961.519291898,236373.801189515
263.236808776855,13.021177,202811.992258944,846526.366663122
263.984756469727,20.894802,3356781.73851919,1151532.30691415
264.109786987305,16.05282,230819.157565544,270939.934989372
264.146240234375,16.222175,119332.432767833,122683.526930156
264.977600097656,13.263881,NA,279357.97105617
264.985610961914,13.192993,573119.491790364,488988.015463149
265.067291259766,0.783829965,273596.728630022,378173.920337495
265.167755126953,16.05834,107346.939952736,89015.7576755895
265.225021362305,0.98901681,282067.285432479,288873.467281683
265.252410888672,21.729773,7274633.04000698,5202212.7073032
266.160766601562,0.71784843,NA,49694.6842038041
266.172637939453,6.8398828,641350.228387536,144893.945453063
266.284118652344,11.723279,222337.530953543,563395.989048924
266.891906738281,26.891192,69827.8442658568,110659.535226094
266.974273681641,18.205248,1218937.57100625,1121081.29510969
266.974395751953,5.9627087,NA,521234.684745665
266.988494873047,25.065834,298951.863984611,436012.667884687
267.047576904297,4.6904107,144681.086686697,139834.390544411
267.287399291992,11.72057,1529368.59043992,1833588.61007461
267.967864990234,10.819955,1537138.1613834,771865.5331538
268.263427734375,1.9835019,174332.207352053,176539.422888992
268.971221923828,8.6667598,NA,111016.685382023
268.998329162598,22.5328875,12978542.6189103,10430000.7347338
269.045188903808,25.989285,90889.162876874,291102.048396557
269.135925292969,0.91260962,85226.6796465985,197806.976185105
269.208709716797,2.4435449,NA,188259.244790689
269.226135253906,10.284011,394492.768331728,NA
269.26667022705,1.7831916,208656.63221819,277079.72288151
269.966003417969,12.341343,1020601.0811306,1081902.26934284
270.001647949219,21.112052,2907612.24034675,2535102.21782254
270.3154296875,1.6977794,328816.558077035,264819.232986598
270.945404052734,0.74858282,NA,47745.6259646185
271.002502441406,13.527749,202055.958290002,132384.591447534
271.050628662109,18.560854,217709.209468244,240206.436048401
271.071510314942,0.771730805,63524.3666739522,76399.8432565748
271.151481628418,0.87887891,1029165.24857716,1009500.58555946
271.169219970703,6.7941571,NA,1073456.47433849
271.187927246094,1.991719,427665.710427962,335604.266032276
271.964233398438,8.27777485,101123.633908408,120329.309388253
271.972869873047,20.689501,385953.186501109,675855.269269204
272.091949462891,0.75951265,75799.1883039263,NA
273.130760192872,0.857713465,341061.422984699,377435.662067142
273.167144775391,12.610331,205196.610904931,148181.676042302
274.170516967773,0.90435346,806736.907880658,1014845.41407502
274.273941040039,2.01392975,239515.673837608,318821.210137858
275.092712402344,0.50985161,NA,74666.1696708053
275.146461486817,0.813060315,1070500.94280443,1274038.89851094
275.159225463867,1.3827262,1120677.53042946,78578.4762032345
276.051574707031,25.489222,348067.159421838,NA
276.162811279297,1.3222162,55121.7587505176,1681909.31643722
276.199127197266,0.75519047,71914.2634727012,99666.2284066284
276.986175537109,8.7661749,287096.910595286,188249.549681951
277.075531005859,0.76871356,NA,49438.1207314664
277.104797363281,0.79247395,278678.854459714,366968.5819934
277.132080078125,17.514899,131603.735293365,271550.364274687
277.163581848145,0.81418939,1136934.82479817,1207147.64663802
277.168617248535,13.065395,156625.656107943,296000.800079293
277.17692565918,1.1210117,NA,97573.6059137931
277.216094970703,2.3768145,163885.154938042,NA
277.890266418457,25.6123615,60074.1366766999,64037.8766821112
277.952087402344,8.04978175,NA,121579.446671896
277.95686340332,4.642612299,80523.632415538,140221.248782618
278.127578735352,17.668655,201893.518443041,135861.777442262
278.164093017578,18.109191,189422.284658903,NA
278.172058105469,20.7975835,511001.000305424,158104.042138015
278.868209838867,24.5858975,391869.60678915,NA
278.903137207031,15.1599675,318512.56684898,69146.9958028645
278.955352783203,12.2803665,168641.069449682,431965.53870986
278.971115112305,2.0785881,58869.4140438927,88142.9437417953
279.032241821289,25.570941,289272.863994895,352765.18730812
279.09326171875,9.3366954,78383.4266764225,151246.124976794
279.111717224121,20.5152125,NA,139180.976022184
279.147796630859,20.614321,3422856.06416434,5200372.16914504
279.184173583984,18.184829,163574.39229518,166305.770229023
279.231704711914,6.30684105,61669.4753297318,88297.2797757829
279.268180847168,11.745206,1437334.23663233,1818996.30225282
279.889938354492,12.9040184,117061.897402677,49298.6187471595
279.919403076172,28.1390105,NA,131220.057579495
279.950347900391,8.9736368,84935.4021069493,NA
279.963989257812,16.297284,NA,121555.048310864
279.969650268555,4.63206195,97550.7263489049,92197.5855589689
280.092056274414,0.783829965,597969.181006342,447912.004059573
280.151336669922,18.4074185,286923.829859301,568450.390167657
280.187744140625,23.734439,450160.063530477,309456.267529459
280.263702392579,5.01287105,NA,89757.0149974186
280.865356445312,24.976442,960843.537842596,500565.717328386
280.899108886719,25.513593,456364.657165066,1070689.77144375
280.910797119141,16.92709,136204.066208318,NA
280.954132080078,20.177422,1105921.73666438,411229.941542817
280.969932556152,26.8917145,NA,258521.841671003
280.991996765136,6.3962951,104677.765008481,188521.62990328
281.029281616211,25.9015905,112622.440963005,87733.9546979293
281.029525756836,2.4113916,110010.578318206,142506.373323161
281.153625488281,6.0222624,NA,104617.097070403
281.175048828125,0.75951265,33733.5053454642,NA
281.933242797851,25.580583,713589.96582443,NA
281.952026367188,12.499789,797954.077419375,546612.939354686
282.013473510742,10.184603,273387.354475904,415291.780168618
282.062385559082,17.6207915,420755.065906897,852862.107274651
282.15690612793,4.8014752,NA,581683.924363628
282.203910827636,0.93895744,424913.105305757,561275.117531839
282.253952026367,20.3478225,210300.387537653,108115.051490648
282.279220581055,5.0937621,55532.1370894803,85855.5130450952
282.279388427734,10.18334825,63847.4743598084,NA
282.949127197266,20.791071,468787.114205144,NA
282.949645996094,13.6782455,576054.941197503,270085.707044025
282.975128173828,26.634448,208417.751101751,183689.277110982
283.019378662109,5.2696094,95832.6643113833,87005.5273572596
283.025085449219,3.49534265,346735.955056404,181157.439815742
283.151473999023,0.816350325,220774.289519601,275830.511603109
283.169189453125,5.07728735,NA,100544.231816261
283.175109863281,0.74858282,NA,62516.891270641
283.263092041016,13.691722,101077.706830431,101636.012881901
284.007080078125,28.900274,NA,105231.212178285
284.010803222656,15.7853659,68618.4480491615,81088.4857763711
284.172584533692,4.8244569,NA,104290.587220505
284.294692993164,5.4597489,115639.866322157,122141.406812144
284.331024169922,4.6904978,41885.1717423021,77428.6229791874
284.869674682617,25.524191,211590.222616985,NA
284.946960449219,5.3171189,54016.6380095488,92643.7391704693
284.972290039062,18.178132,775430.416167161,470142.642181125
284.993148803711,13.1055174,233677.781525016,351428.698003242
285.154022216797,25.081059,NA,633306.620004645
285.941146850586,0.745403645,53855.2648640929,79672.3046967527
285.976104736328,25.42439,1186263.10079534,NA
286.078521728516,4.87980925,62865.1785822766,83629.5223794524
286.097640991211,0.33996683,NA,85561.1112213657
286.91603088379,25.495955,754727.271644557,899523.559731797
286.942626953125,3.2597096,104122.243873065,92121.1652525975
286.947906494141,15.2477845,606346.484461857,163194.977800272
286.970489501953,0.7854454,248800.228687625,NA
286.996368408203,8.83574805,149588.230089037,174792.868931613
287.104034423828,0.43996288,NA,86712.5843580832
287.146255493164,0.88320099,179347.590535598,255900.505055925
287.164184570312,5.785615,NA,376922.178521329
287.937286376953,0.74222447,38757.3783197584,NA
288.030395507812,18.636491,678580.860821245,885830.89100254
288.06591796875,24.542676,870341.80171921,251521.650789604
288.076141357422,25.62401,74295.3046574385,NA
288.154541015625,0.91260962,218012.045472201,142692.524291231
288.908721923828,15.135868,NA,621009.54947532
288.944885253906,17.3010715,77741.0046661329,714496.882676203
288.992027282715,15.303445,785480.244913794,822674.195416916
289.031539916992,3.0350362,66355.6178824394,NA
289.125823974609,0.8087381,288823.989376804,308133.521485057
289.154663085938,2.0638677,110879.489318156,186253.219507968
289.162139892578,0.859874465,1407034.92144392,1574233.20636684
289.216049194336,1.1943119,NA,286630.989625851
289.992782592773,8.4679484,62769.080560314,NA
289.995864868164,8.70782605,103876.620571894,NA
290.027969360352,7.6337782,97455.4746452345,122188.719112089
290.081588745117,24.04131,1261270.87396123,NA
290.165298461914,0.83298925,99139.1271591721,NA
290.943550109864,20.59705,201588.298314138,195228.941703986
290.989654541016,7.8038002,81140.5845591268,112424.969428967
291.133102416992,1.3040922,NA,122886.743769727
291.141494750976,0.78815185,162871.561008847,245181.309904802
291.193130493164,1.2426515,NA,152468.930309144
291.231796264649,14.3380195,NA,883317.792985274
291.962104797364,24.516743,392856.983279046,309257.551527899
292.299743652344,11.6649305,118398.465552617,212560.205744999
292.959381103516,12.650363,NA,173543.879526332
292.95947265625,14.033878,273920.234486959,258548.501577934
293.053413391114,0.78815185,476858.437709313,580168.395914868
293.13582611084,0.921669075,1210150.51447309,1596572.87112506
293.303009033203,11.960996,406852.466124381,NA
294.139251708984,0.9371325,153836.569999267,NA
294.315460205078,12.9445125,237053.476361479,199008.793431938
294.916870117188,3.9970854,116124.451674558,141603.521555929
294.996795654297,23.422091,265854.305820796,148791.36468715
295.137390136719,0.88274274,156177.265623827,163967.068790288
295.187927246094,13.041719,94741.1019662188,240582.797887779
295.318786621094,12.81694,92002.4125908274,91495.0762355323
296.191497802734,24.154921,733895.75673515,407993.664086239
296.294738769531,2.9183386,110632.392789884,427339.921943716
296.895690917969,23.839138,176053.83621562,177308.574131478
