"mz","rt","peaktable_1_a0d25fef67532f42501b07e27fab8747 intensity","peaktable_2_153437c90d223ce0da85ff0c50cf80e3 intensity","peaktable_3_efa6f65476b7343e5481e46df0b1846c intensity","peaktable_4_42513057733130ad46e2365204c0487c intensity","peaktable_5_040d565d8e12fd6f47dce862588b8ddb intensity"
281.952407836914,1.66607815,670639.857471351,784491.839171294,239045.963654384,630842.546497006,467432.848575304
282.062713623047,1.54566425,312492.859903386,1423142.68469953,478449.743100491,844865.775958505,523681.816203701
283.263366699219,1.2933367,521926.821863506,457291.769041883,488877.417415897,1761076.04602707,940936.872574032
284.331420898438,0.36342433,NA,NA,795422.697383184,NA,NA
284.972564697266,1.3331233,2947036.93972003,1789837.09737347,684095.219039554,1399848.50548713,979027.276279824
286.948364257812,1.7866116,1034832.32372575,318002.13510204,853628.534783673,NA,1734067.87913049
288.030685424805,1.71905575,338994.860896972,594619.790970257,389123.735705534,446897.148913003,456820.519249407
288.945106506348,1.71540175,906664.626948468,533188.704857089,788271.102809017,344359.95991551,913853.449552099
288.992492675781,1.67144055,629359.295571867,334053.503694399,479114.282636811,480738.870789972,519986.242802137
290.081756591797,1.7896078,729624.238281798,1186831.37986913,1036496.84355999,NA,433006.084832909
292.959777832031,1.6934088,6013177.12939612,4039925.00993345,2152968.42811115,1122283.58732223,1093805.05288162
294.315673828125,1.2805982,NA,NA,364519.953396094,388948.389450399,369038.291559753
297.007476806641,2.1467661,321753.77036318,315932.666139703,325531.775917945,314464.145994511,325533.879094687
297.99137878418,0.370660265,442949.275083316,665261.878172293,685797.068147087,526182.822570624,263447.150074343
301.093780517578,1.7529241,384031.000377235,488097.425214959,1477959.33282052,1302033.08606306,1896777.0105727
301.180358886719,2.0210414,421154.572277418,NA,364989.844844907,380510.028739717,NA
302.974243164062,1.5992499,2420516.10109458,1328188.51660788,2298164.61082837,1658119.53622725,2428911.74206565
304.008331298828,1.56183195,1737175.20321281,1855233.10791974,4687506.67644374,1035799.89882126,4125905.50261781
304.969940185547,1.4254363,533866.845201046,375722.054170359,NA,316986.192501047,372907.663356329
305.011734008789,1.9999739,943624.908004063,547146.192645936,336371.021608711,936817.450515772,436211.507126911
305.1572265625,1.7822345,923100.935336411,2200958.3544526,1219893.78510951,678125.946046714,788235.377878031
308.9912109375,1.70952885,442186.068798633,713776.212362485,770924.258270554,1080064.85734674,727514.666165156
309.279037475586,1.3643312,657641.057824029,1525242.98461812,974465.21239868,965373.180705469,608167.840539009
310.025207519531,1.9984709,1018495.20973664,797038.200469686,887740.139500399,931119.690536859,750571.607245459
311.294631958008,1.30347075,1165435.09423132,620832.686507556,844080.376189313,1021256.25204436,859036.091678206
313.024887084961,1.7617105,2599813.465041,2451144.52289081,3140203.93891819,3204050.65676009,1028372.87412612
314.028472900391,1.99662485,550941.04613916,NA,NA,588405.477149931,NA
320.211334228516,2.00804745,543602.718661543,NA,483727.069293919,NA,266856.760240501
320.940338134766,1.817163,2393280.5859436,2530362.43420632,2897622.15123591,3562420.62115818,4122827.72636681
322.937377929688,1.7280512,955764.313857399,406904.524346929,657172.526025799,700127.235170253,711981.455342695
323.002746582031,1.9991559,557306.617901297,781405.768626377,NA,779640.551995318,725797.700110119
323.039306640625,1.77306675,3203934.65683876,1699742.91443362,584230.291136531,1586282.51900607,764750.499087773
326.957305908203,1.8275652,2850997.88341069,1238401.30245797,2472873.01565156,2513344.05858942,1654910.0797672
327.974929809571,1.736487,542196.838626911,738795.009248061,878900.820848368,805895.211613552,437797.831036309
328.927062988281,2.0072251,NA,NA,NA,1272864.79110867,NA
328.954406738281,1.9893203,NA,707218.1992071,NA,NA,NA
329.007377624511,1.8060219,3157250.29792341,2223890.03325234,1551612.53516466,859985.293838465,864397.349043748
330.009262084961,2.00982245,637737.566850191,704691.702303819,701712.851502825,763654.790176807,NA
331.209442138672,1.7694948,891579.944037679,872104.613617405,854612.77161014,554824.961528038,886403.445470018
332.331481933594,0.30739994,NA,2174715.91857175,NA,NA,NA
332.952438354492,2.0120329,NA,NA,NA,NA,605870.813700773
333.973083496094,1.7481226,878094.76284535,791062.170011907,801440.36359383,728204.303126841,648753.827471272
337.044006347656,0.83443389,582477.909552885,523838.938707972,590901.864332277,548655.504995385,608486.293285611
337.273948669433,1.15692355,2646942.04711416,2701044.84674841,2985859.92897178,2583034.61279812,2795271.96936385
338.277404785156,1.2675139,598643.624043141,616312.722337688,NA,545495.850836883,NA
338.968597412109,2.03115425,392744.802131534,NA,426726.577982628,NA,NA
339.018005371094,0.22246569,NA,NA,1895249.29113756,3886846.59534024,NA
339.018157958984,0.44619227,2569090.76003655,2509426.10639539,2913743.35202223,1897329.408736,2532617.50125816
340.321411132812,1.49553035,528338.620007227,NA,488471.446497655,936593.180153836,679293.839552322
341.266571044922,1.1420813,569115.458111882,612403.527401531,669956.222695744,654228.741750516,393960.370707894
342.071655273438,2.1045077,1368233.02493217,988095.567761576,923341.685359544,1004690.27431594,1032268.51916658
342.337005615234,1.6149189,2229714.00050594,4094670.51141666,1608322.18642615,2695739.72438304,2438965.24921949
343.340545654297,1.4924907,543421.011613497,396636.116066389,813482.044398519,488209.698126703,667000.376002075
344.984909057617,1.55336675,3204382.9427028,3371742.83814821,3285980.10886027,1827892.60682196,15918405.173148
345.987976074219,0.68035371,NA,NA,NA,NA,1019429.29957861
345.988311767578,1.80821065,3447842.20653526,2109558.85262757,2692615.44673162,947209.196958842,2069451.73731853
346.989791870118,2.0031905,582209.316795188,NA,NA,527634.295848616,NA
347.959655761719,1.7212718,NA,NA,558223.023318888,NA,NA
348.977935791016,2.0050537,664365.841937743,268250.40292976,742941.293770509,761733.397440665,768378.910286252
349.183670043945,1.7256489,1499034.36106317,1258173.51124207,1208810.63900911,685411.504429732,1206475.97008031
351.001846313477,1.53756,2516345.37646813,3412607.17706493,2103739.61242677,16080237.3748058,1735625.84831007
352.005256652832,1.79773025,431816.998759264,1809877.75514292,2009989.45148334,1501273.74242002,1920771.74560519
353.006500244141,1.996967,707521.215353439,NA,NA,NA,NA
353.976364135743,1.7222615,NA,563098.951199278,NA,NA,609236.462452241
355.282211303711,1.6304416,874456.286240297,1017389.53105341,790814.429691425,446629.874624377,2095866.06688355
356.389083862305,0.36522694,5262675.26307453,NA,5165620.71824452,5265913.13740483,5297212.54182071
357.147521972656,1.68707265,1301908.19844199,768496.945022905,920578.460401057,1088963.29130782,731129.659197727
358.049072265625,1.4771714,398891.348700961,852746.743644567,1681020.75820871,491247.574439604,314270.067712757
360.362854003906,0.56656294,521890.466812302,612125.532934195,596396.457605247,533113.15636803,536311.638290263
360.958770751953,1.72007295,897004.565758876,707788.164332979,568695.655603874,858254.678137173,379636.714088818
361.1025390625,2.0203564,517984.34970539,512917.017774958,529510.535736821,486368.457041813,543809.878228595
361.274063110352,1.1332471,867021.04965056,930992.530333079,1031776.12021397,NA,903632.701427647
362.957550048828,1.3188212,931040.789498298,1108636.11178566,771046.527332481,1083880.16569772,1028697.14126486
363.95556640625,1.557255,817185.204059063,1546854.90809958,671129.467189775,1472988.0240682,1343107.74379791
364.261383056641,1.1586463,713497.797775804,718137.991684007,556351.134745824,649667.729741954,691214.640994078
364.952880859375,2.00257605,NA,NA,445880.406614251,NA,521658.235767098
364.978805541992,2.0373775,332816.653967956,333928.195327408,311488.433328727,427446.900958896,NA
366.337203979492,1.42353015,625339.531558501,533693.608913368,596716.853682919,676808.087083355,1055760.0029528
366.975944519043,1.7642702,1073193.23537086,855803.005396172,1037769.44291604,1042188.88587821,848451.476837956
368.352684020997,1.7796324,2536953.03049575,1512035.3228385,1861787.9183816,2643196.46265802,4018851.62839177
368.425018310547,0.69446674,519669.610043227,NA,NA,NA,NA
368.951080322266,1.8098585,3435077.98604091,2631734.90121928,3349697.10780947,771152.486702004,3586796.45561634
369.297912597656,1.0238193,1790484.26861315,1876271.49491762,489220.801993439,875330.723742417,1122221.41682447
369.298095703125,1.228261,1422252.83642016,983295.067294557,NA,NA,NA
369.356170654297,1.538522,899158.775331305,1061550.44723221,486047.27554404,390094.325948202,670153.452429118
370.367889404297,0.71755956,NA,NA,NA,NA,1831316.91759823
370.368515014648,1.6771645,2317563.43071065,5740690.01292327,2510410.37221839,4090723.65890033,2083159.16479882
370.948440551758,1.7481226,1894577.60362251,1114328.29107516,1966855.32017339,1544098.48877227,1999991.08098656
370.995819091797,2.0254184,511274.455461937,NA,620578.327128546,NA,611437.148062922
371.162933349609,1.7953658,NA,NA,NA,NA,1476543.93903694
371.163223266601,1.68960705,NA,1495063.85061117,NA,1638642.75228525,1548098.49255178
371.371948242188,1.459734,595268.163690444,811363.532577564,734415.215766729,1175357.85179646,478507.302979265
372.947204589844,1.7218601,1082224.73342986,748632.108085522,NA,620186.048796021,609730.247133094
374.962982177734,1.7800459,NA,NA,NA,NA,2045473.52828185
374.963165283203,1.77451735,624611.981181731,1640176.31419135,1666597.20291426,2308596.55729078,492615.211967248
375.251022338867,1.2871301,913303.238112475,663187.468330591,528053.148747001,533670.380025517,1010673.90346504
377.080230712891,2.0663334,542816.296148578,1414756.15962319,1350854.26718189,1377339.53341176,1369842.85789985
379.994720458984,1.400303805,686181.339801642,751099.453434511,874195.564928261,1470548.92760984,1490141.34900502
383.048309326172,2.032513,325209.289107186,414815.159961749,444058.512912329,453691.106991752,402171.790620633
383.3134765625,0.76215479,492617.704324568,1978223.3164819,336927.099649053,566662.74489963,261191.583952153
384.916091918945,1.7814074,873226.868260309,893314.894324286,912670.639355435,792647.581080002,915319.898168867
384.9775390625,1.5147752,1231649.26647605,675726.597145901,1180635.32284099,698763.133135265,653973.994818634
385.292915344239,1.5637501,843871.095415263,1506591.64928958,1284178.95715842,1722758.46062676,1253402.05438158
385.293106079102,1.6629933,1227408.6498194,NA,NA,1376393.78785435,NA
386.011474609375,1.71154215,579930.389272217,622409.042997656,1070983.20153347,568671.014422397,977507.503183896
386.912384033203,1.9531959,826831.367042198,NA,NA,NA,NA
388.394088745117,0.608629135,456183.946683002,3501149.57875437,3552633.67725408,3328225.49942253,3377402.80782516
389.397491455078,0.61348997,874702.332205718,967933.932058667,954264.787840526,926010.779767801,1021138.17048212
390.33642578125,1.6791365,439930.932292711,NA,NA,NA,NA
390.994476318359,1.6944676,763804.316300273,2271334.62117778,1768216.71102663,1305945.11868834,1626966.50579637
392.292694091797,1.2827866,1618585.04365864,1676181.7535366,1636333.63571325,1529591.35755169,1698226.13526645
393.210006713867,1.6740097,494052.488195669,813822.270970852,1105170.11460403,481247.274975444,1058233.95100012
393.297355651855,0.688468915,1811760.83859614,1807403.30910836,1722915.29039688,1768863.2486496,376226.816155007
395.028251647949,1.767494,2317641.43487015,975272.999737317,1699831.84519055,3085298.2259677,1393539.54659395
397.328964233398,0.67816572,915148.303865175,1081074.51489256,958863.263745743,1000755.78398124,903792.992637968
398.174072265625,1.6355679,749867.14833454,742161.598042879,633216.702759167,787210.198263657,744105.416299929
399.025787353516,2.0356763,1903305.02401214,217823.072909979,506324.400115101,278637.967625266,491600.539739695
399.178421020507,1.5774639,458262.768658991,381019.865417063,316753.896813255,402450.250647679,NA
399.308624267578,1.4060216,1043130.77273298,2359136.82078684,1782195.75612347,1768302.93381046,1491355.52974716
400.312042236328,1.55786845,NA,574722.77308207,458605.327946201,546724.22553675,426657.253608047
400.378814697266,0.59723483,597699.94739217,682927.133987539,627458.83996691,623583.103799481,615716.016937832
402.943725585938,1.8049032,1850375.30309714,798692.298162232,407955.744193194,937164.931523394,1276677.48395677
405.261703491211,1.055336405,1634950.25936961,806319.678132518,1368057.5887546,436839.643086532,1175953.21461127
408.960540771484,1.8426874,6556204.93449188,6670694.80822631,6404708.99350855,6736422.34253588,3009768.96003337
410.957489013672,1.787882,1249373.67309577,1745830.20179081,815789.268616452,1593355.54695867,1282590.72534187
411.010864257812,1.7997429,2627526.01043954,2749098.7205871,795420.881348179,617399.293545538,858344.944555782
412.189682006836,1.7772816,1286837.70921327,1121456.25872622,1837026.37186771,815233.013643092,1359264.46767759
413.266647338867,1.6123498,606058.270750615,917128.024594076,3601626.38282991,644860.555135102,1014632.93970914
413.322723388672,1.9332452,NA,NA,NA,NA,1077579.84055796
413.324188232422,1.0579112,936811.470595786,981171.771222497,626794.653663898,1702773.41178633,1061609.48148603
414.270034790039,0.67380262,659166.173948297,518976.18275457,657343.529627142,530391.240577525,585386.002487968
414.95573425293,2.0106522,547719.245987957,570836.358804818,NA,NA,NA
415.043167114258,0.50528369,727124.491550459,819183.68295407,740736.682377117,733877.656473965,738270.808763291
420.971282958984,1.198824,1101882.8265668,562576.149864166,624635.5963005,654487.324948597,556508.495305313
425.036315917969,2.0484113,320569.875576138,335293.169242829,389911.707418548,322430.153462155,327312.032338361
425.214691162109,1.7868654,1387172.59249669,714518.786454477,1153766.55738642,579507.061021969,568522.966363053
425.360656738281,0.76533471,714451.322857032,754652.051150681,788932.284443945,716232.118392278,683440.581864243
426.205474853516,1.537558,1001101.87335635,753649.883952421,1208663.14211522,484472.471357484,381303.712389444
426.987991333008,1.790533,NA,NA,NA,10913458.1447921,9769658.11655101
426.988220214844,1.32437625,804132.483299234,857469.60239359,543573.262208539,678094.065939872,4199507.2299928
427.339813232422,0.64971404,848372.706459917,878839.800708908,852130.656314604,819891.308004952,779611.156282986
427.991638183594,1.7756689,1458226.6038781,926903.450346279,812658.068803382,669886.217624716,850040.630438434
429.319305419922,1.348562,1550015.69879554,1466414.41966359,1378722.94723538,1770759.92320818,1458407.53154279
430.389373779297,0.56261239,NA,NA,NA,423606.682703752,481515.129840376
433.005104064942,1.53952865,5026689.37376185,27543710.4316994,3530006.32579412,2944981.94955233,2882775.95067585
434.008575439453,1.8058775,662423.028057877,443289.615847919,783542.926308476,260556.182145883,4528867.58989537
435.009437561035,1.9942381,1992801.18096581,2037693.75884522,NA,1909425.66578662,1777044.48447479
435.979736328125,1.8224116,1791020.94012882,530741.108892211,847723.265335714,1423566.23652813,1174631.09471321
437.236663818359,1.530065,NA,514909.672256086,NA,NA,486819.600098203
438.379486083984,0.57190726,1388670.33921777,1261368.01429063,1330955.888753,528045.567763582,1279026.8113508
439.150764465332,1.67766735,1057655.18154994,389921.070463636,797724.683733722,849087.633559546,634080.693881908
439.405334472656,0.90524068,760097.240939257,690834.620312233,650073.773018775,697888.912721546,707878.095756482
441.014404296875,2.0287141,NA,278258.513024251,243604.77487357,NA,352396.226442471
441.297760009766,0.761098825,NA,539896.370208047,539466.3521052,425250.026944617,519876.624125428
441.354995727539,0.640313145,NA,749869.16939583,794448.938168212,827207.795676347,899089.230121937
443.334854125977,1.701567,3340949.14228388,1397411.51374688,1172984.60710227,411432.382028871,4666027.26085631
444.332710266114,1.401934145,1232044.47525989,1493730.12524424,464922.765461976,1437310.77754165,553008.820200682
444.337280273438,1.2619183,552958.238290545,564669.007273127,403332.594609068,414570.257606043,1043834.0598442
444.379997253418,0.61800327,806491.137186404,1579592.55751397,1759820.17403595,1542525.69851755,1697714.96344193
444.961029052734,1.9980745,629418.1734746,568320.047222712,775631.151533015,673023.934377891,665283.864499196
445.958686828614,1.7517461,765164.087294812,265687.920854201,681382.6578203,688394.083096076,660771.856281654
446.981903076172,2.0374684,803696.765421142,820088.081172864,828734.359234759,749219.551867802,730347.476840886
447.345275878906,0.84924094,1391514.91640901,1424958.21395552,1216563.33509873,1427043.12288193,1246376.57938274
448.979141235352,1.6718211,1584184.76272645,390670.571127609,1220993.64578393,1958074.79373019,1189490.10396736
449.287857055664,1.2725287,2520282.53208471,1525726.68255581,1412732.79340421,1646775.40463348,2623299.44445979
449.288124084473,2.1137003,1291607.83631362,364277.831374358,350657.615828598,NA,325888.057965357
449.360900878906,0.84099953,619856.169215475,649426.752565308,628781.363366933,570105.256076237,590974.552366686
450.291687011719,1.1389182,461116.729675921,336848.818134446,345898.505799795,345864.990077063,NA
450.953582763672,1.7328027,1398987.34842656,774520.493377429,1667507.87741118,1447840.65483474,450957.867179555
452.395080566406,0.58624609,426800.7047737,402661.58118269,437377.141333329,988477.315927415,369435.428509018
452.999267578125,1.5209423,472546.649202377,979833.654205804,307634.336048693,NA,236525.567030297
453.166397094727,1.5682576,809027.441489839,883561.282383279,658455.443806852,1064046.60261616,894451.925232706
454.293045043945,0.675380325,1273723.6842691,1205167.33419082,539948.794579637,1125480.11103517,1147496.91201987
455.370452880859,0.67248086,638031.2932413,665336.773731026,672300.827266556,665840.941835131,699209.410686593
456.966369628906,1.71131875,1673111.35040653,1049086.36127192,1050624.33662404,543597.807035954,2179629.21691893
457.350425720215,1.5366607,2533479.45369881,1262887.22849016,1237546.03389001,1150390.39319803,1123865.36121135
458.353302001953,0.65944952,400253.555862797,304475.107947586,424125.529845335,NA,461527.289423421
460.9638671875,2.03951685,309362.657690134,NA,NA,NA,265890.734018951
462.959648132324,2.0316416,686061.991487178,676891.119212978,553720.794402188,595127.68675378,479638.765418117
466.919334411622,1.90875745,2861593.28611294,2920969.68128737,2342416.95104869,2384650.23618749,2401968.13806849
