"mz","rt","peaktable_1_b7395992449dfd483a9252839606b237 intensity","peaktable_2_9088c9bb03b996378922c647cf074a20 intensity","peaktable_3_dcc2459184097df9045af661688f5c8a intensity","peaktable_4_8e9143ab92bc68bcc4b903e5bf1abe62 intensity","peaktable_5_160fc6371b5d43397f685b6d8d718fdb intensity"
225.196914672852,2.05686195,155257.271338889,214847.740671377,149184.454902674,152735.363141275,135956.733393094
225.233108520508,1.9153868,448575.952522853,659646.227647104,531585.025365096,392426.654649657,536037.530763422
226.011932373047,1.91428015,421283.877169383,183354.593257828,498597.705548545,433574.357760915,475254.102727924
226.02326965332,1.99090755,407990.671276429,NA,NA,NA,316984.659294093
226.048355102539,0.46034051,408927.006934159,279808.418742425,391058.463277312,388710.024411243,340473.255808045
226.084808349609,0.45602764,NA,NA,NA,NA,105655.697366196
226.084846496582,2.1238394,234548.600216321,158651.453564175,168162.11853761,166989.795221069,70116.1326393484
226.109504699707,0.454896675,131068.362106657,148625.897102431,NA,NA,NA
226.110382080078,0.49430508,118285.120614641,249691.269923201,99218.2544858889,173296.590393746,118758.46078666
226.217208862305,2.1137022,NA,63438.4459057089,125645.667916745,114257.093234183,100908.777546656
226.988128662109,1.3483747,1603360.04359966,1360510.8727786,1716338.13858973,3658251.59213325,1867507.51220242
227.106571197509,0.557797985,232474.138062964,144640.269177779,218561.81136792,193682.351313806,193640.668849675
227.991054534912,1.99826795,355361.039794076,NA,NA,399469.842955888,NA
228.022453308105,1.473967,271790.125108452,168704.135153552,692799.168743484,624243.96804311,92318.0325719725
228.196212768555,0.63002036,198671.5781011,192141.335753782,NA,204999.569552792,185565.235666643
228.232460021972,0.561046285,221754.903347266,311035.325160712,304468.777011046,248141.79346172,151170.558083747
228.97184753418,2.0777668,99268.1503770057,120083.348473641,145258.006299882,94169.8658756475,108263.190265285
229.141220092773,1.24759242,483738.645697952,485322.29682875,404255.47059034,1586540.16924576,882780.282297093
230.248428344727,0.14462646,431052.007978383,439243.866042767,73990.4209298845,78390.4913920949,81019.75150574
231.120681762695,0.63213541,176461.213944173,306236.154600843,157748.670279154,106067.168892424,137938.442241539
233.0791015625,1.301246905,140406.766287292,87333.3380337884,98213.0016809913,146287.815330694,101421.644562074
233.093460083008,1.89641475,408831.252123,580068.630145737,252102.337935914,429044.12039986,441651.904666172
233.189987182617,0.57195964,74898.7167867295,129227.017604278,185086.447712776,77174.7921154012,97665.5829350859
233.915145874023,2.1051152,271879.846805491,229158.814057924,198831.878214819,211942.397496433,233654.490426006
234.18522644043,1.299544595,90004.5871387434,93430.9861192163,82994.1947273379,112015.186039115,92357.1908576603
235.913650512695,2.06695115,183283.66640732,220054.953973957,183516.535001742,178841.548734083,183993.400712824
236.2378616333,1.94037985,269038.543988869,253718.404656819,NA,NA,NA
237.030830383301,1.19034387,105100.247418297,78802.3843831837,92100.7047941933,117930.260495749,114895.593858591
237.083137512207,1.258807835,106239.018750977,762716.847439688,275589.830292051,262942.530766915,312399.460247844
237.13801574707,1.8383343,426926.649552655,647970.899760679,899377.579108453,613768.816476418,748272.019740106
237.185089111328,2.142646,82643.8354501605,NA,NA,NA,NA
237.233123779297,1.7303849,363784.340591274,283570.784061865,158517.890509213,45544.9132447974,183979.524813592
239.070861816406,0.50409759,115260.139335626,224625.715307101,116450.545684888,131851.737835382,245243.386320939
239.106628417969,2.04275,197530.102748733,340429.70017691,315211.199717366,80677.5176994345,696198.835563398
239.149276733398,0.58734094,329648.079597295,316049.845264733,301773.899871611,322460.149327969,322419.167094151
240.028228759766,0.50410451,447236.623824096,474492.270506273,481880.077957535,445761.438920848,423473.201516883
240.066146850586,0.46697569,422457.558735317,401929.136213503,437453.495727411,456452.466306738,336863.958891384
240.073150634766,2.1847809,NA,NA,67866.903676585,NA,NA
240.18098449707,0.34566129,370803.159705805,162693.514326772,256963.907830853,142518.293085866,301590.274702176
240.232879638672,1.6778385,335282.515356822,158634.863960189,321717.552286121,276065.398817011,425032.61899549
241.025703430176,0.565455475,636316.167091378,445630.765696924,400352.721160814,418445.734553676,413106.639532023
241.036491394043,1.5713349,917527.070516016,563545.856287401,300800.68764794,467616.327518737,905226.848762346
241.049640655517,0.87786688,1751206.14710394,1780591.94627319,449935.465206207,525767.514898216,852547.812463318
241.050086975098,0.15992699,NA,NA,NA,814274.775502369,NA
241.08610534668,1.0596307,13860996.1173759,6553941.69001575,8485456.93516911,8237479.62715125,10606284.0738671
241.093704223633,0.43852398,176209.804801737,163346.048723879,131800.689599466,241934.842478551,249955.855800619
241.12287902832,1.4731224,9748056.22906822,10260746.3225526,5707466.64436445,8318246.75999702,9939941.17606496
241.129913330078,2.193942,68920.8082953692,NA,NA,NA,NA
242.023834228516,0.412870045,158792.8098598,185266.758633066,176866.654283092,164396.750149922,174716.31665945
242.053161621094,1.20460829,117487.614563431,110723.190428126,112462.503109066,119415.66444514,54015.9119398171
242.083465576172,2.0669136,106143.742103443,81190.6885325719,230833.016556479,222685.487423256,250470.83025379
242.089515686035,0.837353075,898085.697643312,1209171.12510567,556425.208828795,1183167.36132793,775945.843295616
242.125953674316,1.45208105,1143823.8629695,1605836.68160625,84631.7998576727,235419.811366628,303588.505480265
242.211433410645,0.0905203575,NA,NA,33540.8442479286,69377.1800898981,NA
242.284790039062,0.53914795,154509.689606678,153083.325977454,91340.8528397526,171106.198279078,151592.668773311
243.082473754883,2.0965239,189036.998156226,178493.174114653,197317.692319254,102746.447981529,196792.267497089
243.090789794922,2.088799,168633.104675243,144603.225489503,169855.201828177,167405.160437115,175849.417388783
243.119125366211,0.58291902,357445.935607956,221487.371572281,148662.325881127,125766.742787517,260776.934694292
243.120040893555,0.55232896,239277.696512915,NA,NA,NA,NA
244.102951049805,2.0274748,327437.528513132,305044.707531416,281881.239409905,326461.325300314,105845.455494891
244.139785766602,1.12083755,1004940.33335861,305189.892970955,300863.318938111,1629039.74324259,422250.506907273
244.139892578125,0.81271739,NA,NA,682270.711120142,NA,NA
244.175643920898,2.0222756,194798.111375759,227835.638093014,174828.570282463,198618.512006034,189165.439909381
244.933029174805,0.33475244,51928.8677326106,51960.5434590949,66527.0211814388,65283.9857766243,93009.6567694804
244.954666137695,1.9785041,316602.473605864,8554762.08237936,13456456.3328605,11565211.6205813,63412.1006700171
245.079330444336,0.58507424,314502.008188967,291829.87239001,244137.156188844,255820.942683031,116415.981938836
245.099357604981,0.823421395,176467.97416957,NA,NA,215844.836136365,NA
245.09992980957,0.64643693,179664.132982872,302197.598757577,216935.675095771,171012.256182523,267075.157677963
245.11540222168,2.0414973,544454.728873395,552200.60313804,542233.974274348,553990.072493297,101272.899162074
245.135986328125,0.4778682,129049.940113796,NA,73632.1302202446,NA,133304.05905368
245.141632080078,2.0361843,782471.213395926,803554.652872382,778237.503198338,795982.32011967,779677.353239953
245.958038330078,1.98762475,443813.502858515,NA,300800.639191007,301252.666183136,461896.361128171
245.966339111328,0.450558705,131624.10363921,87039.648065652,73196.7291557168,147979.17912774,74143.3815591775
246.137298583984,2.0319718,870201.762028689,869272.465486264,856096.912912757,855347.469813538,826901.163274335
246.923797607422,2.0161706,NA,NA,NA,650787.289109371,NA
246.95174407959,1.9800453,1532239.43107308,4115146.06601661,2690841.62136374,3574764.89358742,4121426.39923294
247.003982543945,1.5324782,628868.988577781,166161.711054941,158471.137505501,1215680.09122605,146631.672417789
247.050903320312,1.92552255,545855.325305973,157376.547682406,706530.540057985,511696.119816396,537559.511737451
247.9287109375,1.9525921,723065.385508474,650251.923524907,621335.041633403,671127.281121165,838604.731110069
250.178344726562,0.65300016,207204.774390794,NA,185840.940464735,172703.918417695,180443.696122628
250.942138671875,2.05580515,90244.8942119765,91469.2836570698,323639.532174317,77963.7482236403,82154.8576621822
250.949630737305,2.003311,465157.599035426,474108.231589348,531267.290312737,506791.476536071,389636.921744143
251.046779632569,0.33360773,187215.550573102,246956.338785153,244221.057138358,119243.918621318,249311.259349624
251.185607910156,0.078016457,NA,NA,71105.2463828649,NA,NA
251.200592041016,2.0616694,120276.89924607,82695.3717094946,106028.962922689,79728.2896994412,90606.5878445387
252.019668579102,0.65073084,NA,554383.580389505,NA,NA,NA
252.020065307617,0.85079871,117439.262551556,381677.783444937,410181.546401895,138672.68896501,185786.734957134
252.939697265625,2.0515042,368573.683116,318936.825529432,268642.359155656,83631.737722453,111048.858513754
254.824043273925,1.94044665,NA,348783.700192876,NA,364582.031488243,NA
254.997161865234,0.283759185,132024.189311566,79820.6888771541,103055.652302778,102334.417311949,241573.832756187
255.981460571289,0.251071215,70919.2496040026,83577.2403428085,52656.9273379951,59397.4517144364,97210.5869229334
256.176147460938,0.18062976,NA,65949.4332336282,NA,NA,92091.9830772117
256.238922119141,0.08674491,NA,NA,810873.389288297,797376.147545595,753460.06398966
256.821182250977,1.9590494,548022.152041127,494842.436690064,NA,610047.77270222,589215.081488813
256.965942382812,0.41835275,144127.825776038,111505.600653707,159084.377058141,109187.722275546,177067.233937877
258.101959228516,1.7874823,802051.561537873,829395.681950063,589718.03475567,772363.161927797,102515.301212027
258.118621826172,0.150107452,NA,NA,43235.8925478258,NA,78470.8477225755
258.137634277344,1.7389343,1652488.85189714,363889.73420574,404021.657694061,432664.656542636,411902.749334211
258.279052734375,0.23969172,NA,132864.368512985,134769.781201114,136961.982489575,121985.460187516
259.065155029297,1.86784865,245280.484933501,418804.468272868,500222.667671204,211284.16464811,545692.935863391
259.096496582031,0.59828888,229340.302798641,204057.293676827,118231.363351555,241265.508390508,179597.938398068
259.10546875,2.0646355,NA,114999.464546935,NA,NA,NA
259.115509033203,0.80123761,230160.558388263,244017.057236913,410631.908864743,355384.464343028,206345.280862473
259.133453369141,2.0507267,251910.437251711,267725.105537602,271689.150235244,262526.088006105,255358.829075151
259.152435302734,0.49535722,140528.520641281,107830.811747841,200308.85738893,124707.452691309,73441.3024154812
260.080993652344,1.57622795,825290.510579023,188661.404125212,448980.621315361,161977.50322861,820775.423244092
260.117095947266,1.804991,4837957.72887996,1319983.34425561,10555273.2599085,5831341.45452581,9953870.75061188
260.153198242188,1.8250794,15504474.8106585,8642727.275412,8561297.56063651,4312477.11888787,85742.4210538078
260.162063598633,2.02536875,NA,NA,186478.020801234,NA,173576.328914553
260.926300048828,0.22654687,83901.4956536661,80047.2417585405,44295.0904239784,276446.130300161,283572.52874749
261.120971679688,1.6127528,825635.754039566,431647.776266867,393934.875923482,379309.035585856,630075.849481495
261.131164550781,0.9731008,3724480.06885808,2884970.94365559,2022794.11215638,871470.026806542,3567276.87380528
261.1572265625,1.68211545,1325669.5433024,695856.79197018,392695.622377986,217048.199807436,672790.624175787
261.997528076172,0.63548939,71989.7846792108,194729.894824262,71672.2242395643,217434.331771781,71944.285186992
262.134155273438,0.60261597,230962.310358081,251828.023104653,132448.566451002,73015.0813346097,162207.739636564
262.150115966797,1.860953,653828.967034757,238381.295400328,357879.671327719,350432.702726485,349831.865496445
262.217163085938,0.309527775,96059.9805674713,76355.9699652019,94133.761480922,59934.9156504903,65366.5509782326
262.252655029297,2.1002593,70189.9101685236,59711.4087224243,NA,94454.2639055384,85883.4961433295
262.924224853516,0.056129783,169939.54203118,41576.0544679087,138934.411092056,172760.291108544,197366.298281168
262.9814453125,1.3965952,3808152.38771286,1569271.91149042,1401689.71764026,5140430.89847813,4611224.92161789
263.031799316406,0.46259813,158238.184103794,248953.568159336,188217.405862857,227711.023152012,218935.992391982
263.17041015625,1.86314865,1116921.42660251,1075805.3795924,1045554.64953405,1211150.06706213,1179091.17209871
263.98477935791,1.7394216,744245.680522688,157024.191473177,166346.402713929,200304.982912096,394869.893861602
264.110290527344,2.0507267,367187.773563609,370165.123485775,373547.057678934,352110.254666088,421743.971039357
264.147125244141,2.0227362,279047.253792439,333379.663766237,297857.07257932,297889.252379865,312009.861258745
264.172546386719,2.0165768,NA,NA,171545.348125224,198387.214842658,168255.47739008
264.269271850586,1.5209984,6145038.13073868,5718095.80038281,7461034.202085,1853852.60167536,6591959.85221477
265.168762207031,2.033679,NA,NA,NA,148483.594455161,NA
265.271911621094,1.43050715,1061226.96400566,4913715.85288434,1100863.28195523,5160687.12513581,1230632.41614952
266.988403320312,1.87711315,321272.483230864,456321.524519555,337046.881219043,419024.37009246,399836.548525407
267.968772888183,2.05095705,83772.8706467166,157452.94025198,113576.667921463,84150.2979795526,109682.698766221
268.263992309571,0.56323483,265551.139229842,107805.015506139,85214.9507722617,98098.6939828809,86338.6959962784
268.714477539062,2.0011224,534533.891188572,543145.588946473,NA,NA,638297.464128339
268.915588378906,1.6778385,349567.470864327,356890.979976802,297171.337614025,350840.339121574,379578.692534321
268.998504638672,1.1185538,7173858.29967218,12095440.3923869,11012545.824872,17357382.4655932,18237922.317774
269.007080078125,0.67488339,304538.58223807,305901.208797154,312135.459363187,119592.382750199,90421.5258261901
269.279357910156,1.9943656,581179.38491691,687288.216526874,593964.030911789,NA,693984.760545387
269.966201782227,2.0548693,106997.543459912,108505.437278209,637864.086062413,115981.985741414,119107.658121536
270.001899719239,1.11511605,878016.780307205,364767.441001411,652275.03939343,329232.128613081,680742.149901515
271.003448486328,1.7700932,159442.080980466,129122.047657426,1416068.90056078,77069.115054924,1345280.4848745
271.050537109375,1.53573945,612245.279777401,572730.532510962,377412.030351935,448478.162551596,348166.862595518
271.152297973633,0.63873286,125542.107855643,138360.635503525,214735.299659798,215359.411602223,98195.320981108
271.188262939453,1.7187967,91406.4509271794,483064.062920741,540989.959448015,92289.4553259701,64690.9656903704
271.97282409668,1.93189695,2852890.20232215,1613841.42514627,1808830.57974239,1404317.32049336,2455861.90285228
273.167266845703,1.5054509,2360797.64038594,623105.075394473,2136761.42808171,1293799.66360576,2111329.92075141
274.170989990234,0.611353425,101651.903832356,181707.09482381,97596.7602569407,171609.655734853,182892.030331064
275.147186279297,2.1418417,NA,NA,NA,77306.5022405434,NA
276.232147216797,0.46035986,119154.531838425,154638.215883271,116783.400190249,129374.118255453,94807.0811938647
277.105438232422,2.1808197,NA,97185.6310768531,90067.34230623,81938.8422607263,64388.4428087736
277.132690429688,2.0070889,510069.068021731,589961.389326561,383017.206243028,386335.800469992,460743.377959983
277.168609619141,1.8608653,613045.369487462,801998.186760612,557955.146538724,759234.350032334,459922.367593171
277.177261352539,2.0164871,NA,100192.733532562,NA,NA,NA
277.216888427734,0.5402503,208236.777082493,179792.147678632,167146.195666081,139113.100322463,108503.670901635
278.16455078125,2.0186756,210214.440203093,183081.47382093,175998.595269813,189923.821643967,219300.698749608
278.868438720703,1.9418419,505325.552984342,468184.666898813,560290.224418733,555084.861945304,548429.918147086
278.971954345703,0.44502061,171468.31384006,216157.588217887,178461.888692485,168028.305718261,160737.138476291
279.032043457031,2.0494052,NA,NA,121239.416393144,NA,NA
279.093406677247,0.938887685,693251.589277965,614100.929017673,586834.237088235,518067.697864472,615528.710479641
279.112152099609,2.0113329,241028.645045731,248192.700559232,264845.072543426,265006.855988432,236291.782934983
279.1484375,1.7988718,3799290.00650118,545019.272114234,2378580.71256384,2597200.60030782,258406.443285459
279.184753417969,1.8121742,2622523.25649797,3318995.50441425,2293705.13865862,3558564.75455409,3604839.05815294
279.184906005859,0.95667806,NA,449608.645839935,NA,3612864.34142847,410065.129394995
279.232299804688,0.48447913,176747.609350452,110285.953263085,88043.9210852316,104638.854651083,130693.418205736
279.970153808594,0.040811107,NA,NA,62080.5242643178,58252.6793467545,55260.5479228381
280.097198486328,2.0599415,140541.69278063,105379.924660907,158517.998735981,109514.162123997,142644.521948723
280.1513671875,2.0029448,277240.432012047,NA,326084.177166821,357972.248386896,401729.148964485
280.189071655273,2.0008367,297364.519062234,315637.323031818,233834.983736562,NA,NA
280.865707397461,1.9544969,465770.115329554,NA,460717.199372921,530402.147902338,452049.060594211
280.954742431641,1.268819495,154140.188338029,349978.800682508,180747.534433121,175751.107092671,108418.717713074
280.954956054688,0.91859712,NA,NA,241947.072798626,NA,NA
281.029357910156,0.17086967,99022.9252599629,109544.961596038,142054.998421837,29634.725381308,124184.988334435
281.248229980469,1.6165586,52129.969316703,304308.721746355,355812.036173706,361062.617889632,NA
281.842956542969,1.9391102,425094.749936838,342378.085816676,NA,NA,329143.090108687
281.952178955078,1.6137458,205078.667751667,412014.02612408,83019.2823388284,612752.148299484,105356.606227699
282.013916015625,2.2123854,70708.6065228771,81807.663598486,NA,73181.2320033345,71713.0559928041
282.062774658203,0.96099997,871754.712006706,319351.744897735,788197.33556197,658876.657612171,255805.193064558
282.253997802734,0.855815555,169958.792388152,353382.958109694,445273.537012493,282917.591404138,312854.333312379
282.254852294922,1.90208,1242942.04845295,1301191.89083519,1199370.8388965,228319.529457868,NA
282.279083251953,1.432707,1077994.7616368,116153.711986601,972709.209150049,148483.954749143,962703.452362032
283.025207519531,2.13478215,107730.430094121,128823.102978862,126368.011350164,114194.63855646,140110.62763302
283.176055908203,0.62885959,236668.686015073,128780.389616069,119202.458787464,225556.411638451,119463.33532384
283.263175964355,0.89669568,1357090.63477078,760860.759852797,465371.390417736,100742.213567274,316206.503047108
283.283233642578,0.31939874,222897.612598606,228953.013248747,242839.086034072,232599.001885045,252503.236745273
283.840438842773,1.9337058,385018.291340881,326537.386323865,NA,389396.160181539,355737.307684722
284.207214355469,0.14352008,169495.136435046,62492.5709731238,52405.9339333124,142653.756563187,53093.5113995812
284.294677734375,0.40788432,139841.549555365,NA,NA,135510.522341469,146768.998321041
284.331970214844,0.39694154,168083.712762698,254294.144686885,231712.124512616,474244.777287102,123483.215321563
284.97265625,1.44332705,1360935.93461284,957596.1381608,629762.576975236,880934.03189358,3234351.71112807
286.078582763672,2.0807056,148393.143621668,71560.3342642969,116491.557749655,137189.80424516,161704.649506289
286.274780273438,0.15117279,NA,68388.1838978801,53083.585335365,63493.733203568,NA
286.942893981933,0.3412701,70990.941494891,124070.104488926,91610.2556031326,170830.88357867,101814.109243214
286.948120117188,1.847734,1729332.79303542,1959242.74558557,1500500.89270898,1715243.14328236,948583.050711377
286.996398925781,2.00202555,302744.403672811,239118.192671703,NA,237201.656300237,260044.66055986
288.031158447266,1.8097596,94379.015323819,98737.6473556795,729914.31885441,84805.9417761135,588029.116371163
288.154815673828,1.90343215,700590.041394142,252312.368214894,312984.065837674,396161.364226535,738349.4165036
288.945465087891,1.8040924,1043233.1556638,1031699.05518609,614438.783478303,1141617.2880571,708877.625994189
288.979827880859,1.9939577,NA,NA,NA,233432.500381665,NA
288.99292755127,1.6098899,514378.48487659,276902.742672383,275577.976477936,295047.968214641,599503.127638126
290.082458496094,1.9330877,750613.363289229,2782210.77309708,2783624.44535522,2866275.01163081,958380.935634984
290.943786621094,1.7903093,371314.731945563,616409.629107563,516586.790821219,532555.818131182,378523.77653482
291.193710327148,1.9712911,NA,236714.352782168,338243.067337934,NA,NA
292.073974609375,0.18057219,72755.1938890119,NA,127921.584782055,69012.2423619732,102574.887737063
